;OptOmrNr;Optagelsesområder;Antal Optagne;;Antal ansøgere;;Adgangskvotient;
;;;optagne;standby;total;1. prioritet;kvote 1 kvotient;standby
10;;Københavns Universitet;;;;;;
20;10110;Medicin, København K, Studiestart: sommer- og vinterstart;641;30;2.593;1.639;11,1;11,0
30;10115;Folkesundhedsvidenskab, København K, Studiestart: sommerstart;76;10;227;100;9,6;8,7
40;10117;Farmaci, København K, Studiestart: sommerstart;246;25;767;248;8,3;7,6
50;10120;Odontologi, København K, Studiestart: sommerstart;97;10;864;348;10,8;10,6
60;10140;Veterinærmedicin, København K, Studiestart: sommerstart;192;25;759;526;11,0;10,6
70;10150;Sundhed og informatik, København K, Studiestart: sommerstart;46;0;163;38;Alle optaget, ledige pladser;
80;10160;Professionsbachelor, tandplejer, København K, Studiestart: sommerstart;80;13;445;188;9,0;8,3
90;10205;Biokemi, København K, Studiestart: sommerstart;136;2;433;104;6,6;Alle optaget, ledige pladser
100;10218;Datalogi-økonomi, København K, Studiestart: sommerstart;63;10;328;94;8,2;7,1
110;10220;Datalogi, København K, Studiestart: sommerstart;246;17;659;230;7,0;Alle optaget, ledige pladser
120;10221;Forsikringsmatematik, København K, Studiestart: sommerstart;68;9;276;129;11,5;11,1
130;10230;Fysiske fag (fysik, astrofysik, geofysik, meteorologi, kvantefysik, bio- og medicinsk fysik), København K, Studiestart: sommerstart;130;0;282;139;Alle optaget, ledige pladser;
140;10234;Biologi - Bioteknologi, København K, Studiestart: sommerstart;87;0;288;61;Alle optaget, ledige pladser;
150;10237;Husdyrvidenskab, København K, Studiestart: sommerstart;65;0;152;23;Alle optaget, ledige pladser;
160;10238;Jordbrugsøkonomi, København K, Studiestart: sommerstart;34;0;85;31;Alle optaget, ledige pladser;
170;10240;Landskabsarkitektur, København K, Studiestart: sommerstart;72;0;163;76;Alle optaget, ledige pladser;
180;10242;Fødevarer og ernæring, København K, Studiestart: sommerstart;85;0;181;80;Alle optaget, ledige pladser;
190;10244;Naturressourcer, København K, Studiestart: sommerstart;82;0;182;87;Alle optaget, ledige pladser;
200;10246;Professionsbachelor, skov- og landskabsingeniør, København K, Studiestart: sommerstart;63;2;99;68;6,6;Alle optaget, ledige pladser
210;10250;Biologi, København K, Studiestart: sommerstart;210;0;499;205;Alle optaget, ledige pladser;
220;10270;Geografi og geoinformatik, København K, Studiestart: sommerstart;100;0;179;102;Alle optaget, ledige pladser;
230;10275;Geologi-geoscience, København K, Studiestart: sommerstart;25;0;75;29;Alle optaget, ledige pladser;
240;10285;Idræt og fysisk aktivitet, København K, Studiestart: sommerstart;134;22;391;199;8,3;7,4
250;10286;Kemi, København K, Studiestart: sommerstart;48;0;179;49;Alle optaget, ledige pladser;
260;10287;Matematik, København K, Studiestart: sommerstart;149;0;374;131;Alle optaget, ledige pladser;
270;10288;Matematik-økonomi, København K, Studiestart: sommerstart;74;9;331;89;9,8;9,1
280;10289;Molekylær biomedicin, København K, Studiestart: sommerstart;70;8;360;115;11,2;10,4
290;10290;Nanoscience, København K, Studiestart: sommerstart;41;0;145;42;Alle optaget, ledige pladser;
300;10292;Machine learning og datavidenskab, København K, Studiestart: sommerstart;63;10;297;88;8,6;6,7
310;10304;Audiologopædi, København K, Studiestart: sommerstart;43;5;147;67;9,2;8,6
320;10306;Dansk, København K, Studiestart: sommerstart;162;0;423;143;Alle optaget, ledige pladser;
330;10308;Engelsk, København K, Studiestart: sommerstart;143;0;437;131;Alle optaget, ledige pladser;
340;10310;Grønlandske og arktiske studier, København K, Studiestart: sommerstart;5;0;24;8;Alle optaget, ledige pladser;
