;OptOmrNr;Optagelsesområder;Antal Optagne;;Antal ansøgere;;Adgangskvotient;
350;10312;Europæisk etnologi, København K, Studiestart: sommerstart;68;7;208;57;7,2;Alle optaget
360;10314;Film- og medievidenskab, København K, Studiestart: sommerstart;86;8;502;227;10,1;9,8
370;10316;Filosofi, København K, Studiestart: sommerstart;66;8;390;132;9,5;8,7
380;10322;Forhistorisk arkæologi, København K, Studiestart: sommerstart;34;2;128;38;7,0;Alle optaget, ledige pladser
390;10324;Fransk sprog og kultur, København K, Studiestart: sommerstart;29;0;79;27;Alle optaget, ledige pladser;
400;10326;Græsk, klassisk, København K, Studiestart: sommerstart;2;0;28;3;Alle optaget, ledige pladser;
410;10332;Historie, København K, Studiestart: sommerstart;167;11;516;175;7,3;Alle optaget, ledige pladser
420;10334;Indianske sprog og kulturer, København K, Studiestart: sommerstart;4;0;19;3;Alle optaget, ledige pladser;
430;10338;Italiensk sprog og kultur, København K, Studiestart: sommer- og vinterstart;16;0;42;13;Alle optaget, ledige pladser;
440;10340;Asienstudier (japanstudier), København K, Studiestart: sommerstart;29;4;124;64;8,9;8,3
450;10341;Moderne Indien og Sydasienstudier, København K, Studiestart: sommerstart;9;0;25;11;Alle optaget, ledige pladser;
460;10342;Asienstudier (kinastudier), København K, Studiestart: sommerstart;35;0;109;35;Alle optaget, ledige pladser;
470;10344;Klassisk arkæologi, København K, Studiestart: sommerstart;22;3;90;24;7,7;Alle optaget, ledige pladser
480;10345;Kommunikation og it, København K, Studiestart: sommerstart;90;8;290;74;8,3;7,5
490;10346;Asienstudier (koreastudier), København K, Studiestart: sommerstart;25;6;82;35;7,3;6,1
500;10348;Kunsthistorie, København K, Studiestart: sommerstart;66;5;271;101;9,1;8,7
510;10350;Latin, København K, Studiestart: sommerstart;9;0;28;9;Alle optaget, ledige pladser;
520;10352;Litteraturvidenskab, København K, Studiestart: sommerstart;67;4;214;110;10,3;9,8
530;10353;Mellemøstens sprog og samfund (arabisk, hebraisk, persisk, tyrkisk), København K, Studiestart: sommerstart;61;0;164;70;Alle optaget, ledige pladser;
540;10354;Musikvidenskab, København K, Studiestart: sommerstart;49;0;104;59;Alle optaget, ledige pladser;
550;10360;Mellemøstens sprog og samfund (assyriologi, nærorientalsk arkæologi, ægyptologi), København K, Studiestart: sommerstart;15;0;48;13;Alle optaget, ledige pladser;
560;10366;Portugisiske og brasilianske studier, København K, Studiestart: sommerstart;6;0;28;6;Alle optaget, ledige pladser;
570;10368;Psykologi, København K, Studiestart: sommerstart;240;20;1.789;1.058;11,8;11,7
580;10370;Pædagogik, København K, Studiestart: sommerstart;69;10;254;89;9,3;8,8
590;10372;Religionsvidenskab, København K, Studiestart: sommerstart;73;4;249;79;6,4;Alle optaget, ledige pladser
600;10374;Retorik, København K, Studiestart: sommerstart;58;5;166;58;8,6;7,2
610;10378;Spansk sprog og kultur, København K, Studiestart: sommerstart;45;0;131;47;Alle optaget, ledige pladser;
620;10380;Lingvistik, København K, Studiestart: sommerstart;38;7;154;56;9,8;8,2
630;10382;Teater- og performancestudier, København K, Studiestart: sommerstart;36;7;117;62;9,0;8,2
640;10390;Tysk sprog og kultur, København K, Studiestart: sommerstart;23;0;67;27;Alle optaget, ledige pladser;
650;10393;Østeuropastudier, København K, Studiestart: sommerstart;33;0;89;39;Alle optaget, ledige pladser;
660;10395;Informationsstudier, København K, Studiestart: sommerstart;76;0;215;50;Alle optaget, ledige pladser;
670;10410;Jura, København K, Studiestart: sommerstart;814;60;2.399;1.286;9,7;9,5
680;10415;Samfundsfag, København K, Studiestart: sommerstart;49;7;326;75;10,4;9,8
690;10420;Statskundskab, København K, Studiestart: sommerstart;284;30;913;478;11,1;10,8
700;10430;Økonomi, København K, Studiestart: sommerstart;352;30;845;336;7,9;Alle optaget
710;10435;Sociologi, København K, Studiestart: sommerstart;115;10;697;214;10,7;10,5
720;10440;Antropologi, København K, Studiestart: sommerstart;111;10;712;278;11,1;10,9
730;10500;Teologi, København K, Studiestart: sommerstart;145;1;229;147;2,9;Alle optaget, ledige pladser
740;;Københavns Universitet i alt;7.292;474;25.648;11.272;;
750;;Copenhagen Business School - Handelshøjskolen;;;;;;
760;13010;Erhvervsøkonomi, HA, Frederiksberg, Studiestart: sommerstart;810;0;2.526;982;8,4;
770;13015;Erhvervsøkonomi-informationsteknologi, HA (it.), Frederiksberg, Studiestart: sommerstart;145;0;637;169;8,5;
780;13020;Erhvervsøkonomi-erhvervsret, HA (jur.), Frederiksberg, Studiestart: sommerstart;240;0;1.135;241;8,6;
790;13023;Erhvervsøkonomi og markeds- og kulturanalyse, HA i markeds- og kulturanalyse, Frederiksberg, Studiestart: sommerstart;90;0;1.101;421;10,7;
800;13025;Erhvervsøkonomi-matematik, HA (mat.), Frederiksberg, Studiestart: sommerstart;100;0;371;93;8,1;
810;13030;Erhvervsøkonomi-filosofi, HA (fil.), Frederiksberg, Studiestart: sommerstart;80;0;277;61;8,8;
820;13035;Erhvervsøkonomi-virksomhedskommunikation, HA (kom.), Frederiksberg, Studiestart: sommerstart;185;0;810;236;9,2;
830;13040;Erhvervsøkonomi-psykologi, HA (psyk.), Frederiksberg, Studiestart: sommerstart;170;0;874;331;9,9;
840;13045;Erhvervsøkonomi, HA (Projektledelse), Frederiksberg, Studiestart: sommerstart;130;0;789;326;11,1;
850;13055;Business, Language and Culture, Frederiksberg, Study start: Summer start;140;0;440;184;8,4;
860;13060;International Business, Frederiksberg, Study start: Summer start;180;0;1.195;686;12,4;
870;13070;International Business and Politics, Frederiksberg, Study start: Summer start;140;0;822;308;11,8;
880;13075;Business Administration and Sociology, Frederiksberg, Study start: Summer start;90;0;699;178;10,4;
890;13080;Business Administration and Service Management, Frederiksberg, Study start: Summer start;185;0;823;211;8,9;
900;13090;Asian Studies Programme, Chinese/English, Frederiksberg, Study start: Summer start;70;0;182;104;9,1;
910;13100;Business Administration and Digital Management, Frederiksberg, Study start: Summer start;100;0;916;378;11,2;
920;13280;International Shipping and Trade, Frederiksberg, Study start: Summer start;65;0;342;106;9,8;
930;13290;Europæisk business, HA i europæisk business, Frederiksberg, Studiestart: sommerstart;190;0;490;123;9,1;
940;;Copenhagen Business School - Handelshøjskolen i alt;3.110;0;14.429;5.138;;
950;;IT-Universitetet i København;;;;;;
960;14505;Digital design og interaktive teknologier, København S, Studiestart: sommerstart;66;0;345;150;9,5;
970;14510;Softwareudvikling, København S, Studiestart: sommerstart;176;0;571;297;8,6;
980;14515;Global Business Informatics, København S, Study start: Summer start;80;0;395;119;9,0;
990;14525;Data Science, København S, Study start: Summer start;78;0;327;87;8,0;
1000;;IT-Universitetet i København i alt;400;0;1.638;653;;
1010;;Danmarks Tekniske Universitet;;;;;;
1020;15010;Teknisk videnskab (civilingeniør) Bioteknologi, Kongens Lyngby, Studiestart: sommerstart;60;6;239;73;8,7;7,3
1030;15015;Teknisk videnskab (civilingeniør) Byggeteknologi, Kongens Lyngby, Studiestart: sommerstart;72;3;201;75;7,8;Alle optaget
1040;15016;Teknisk videnskab (civilingeniør) Bæredygtigt energidesign, Kongens Lyngby, Studiestart: sommerstart;50;5;204;76;9,5;9,1
1050;15017;Teknisk videnskab (civilingeniør) Bygningsdesign, Kongens Lyngby, Studiestart: sommerstart;60;6;211;68;8,3;7,1
1060;15020;Teknisk videnskab (civilingeniør) Design og innovation, Kongens Lyngby, Studiestart: sommerstart;66;7;224;95;9,1;8,0
1070;15025;Teknisk videnskab (civilingeniør) Elektroteknologi, Kongens Lyngby, Studiestart: sommerstart;77;7;254;101;8,6;6,8
1080;15030;Teknisk videnskab (civilingeniør) Fysik og nanoteknologi, Kongens Lyngby, Studiestart: sommerstart;61;0;157;59;Alle optaget, ledige pladser;
1090;15033;Teknisk videnskab (civilingeniør) Geofysik og Rumteknologi, Kongens Lyngby, Studiestart: sommerstart;60;3;176;71;7,0;Alle optaget
1100;15035;Teknisk videnskab (civilingeniør) Kemi og teknologi, Kongens Lyngby, Studiestart: sommerstart;87;8;219;103;8,7;7,3
1110;15037;Teknisk videnskab (civilingeniør) Kunstig intelligens og data, Kongens Lyngby, Studiestart: sommerstart;60;6;340;156;10,9;10,7
1120;15040;Teknisk videnskab (civilingeniør) Netværksteknologi og it, Kongens Lyngby, Studiestart: sommerstart;40;4;142;28;6,3;4,3
1130;15045;Teknisk videnskab (civilingeniør) Matematik og teknologi, Kongens Lyngby, Studiestart: sommerstart;78;4;243;86;9,2;Alle optaget
1140;15050;Teknisk videnskab (civilingeniør) Medicin og teknologi, Kongens Lyngby, Studiestart: sommerstart;60;6;351;102;9,8;9,6
1150;15055;Teknisk videnskab (civilingeniør) Vand, bioressourcer og miljømanagement, Kongens Lyngby, Studiestart: sommerstart;60;6;150;65;7,9;Alle optaget
1160;15060;Teknisk videnskab (civilingeniør) Produktion og konstruktion, Kongens Lyngby, Studiestart: sommerstart;72;7;215;71;8,2;6,0
1170;15065;Teknisk videnskab (civilingeniør) Softwareteknologi, Kongens Lyngby, Studiestart: sommerstart;80;8;388;128;9,3;8,8
1180;15075;Teknisk videnskab (civilingeniør) Teknisk biomedicin, Kongens Lyngby, Studiestart: sommerstart;60;6;246;71;9,2;8,7
1190;15080;Teknisk videnskab (civilingeniør) Strategisk analyse og systemdesign, Kongens Lyngby, Studiestart: sommerstart;54;5;146;68;8,3;7,3
1200;15085;Teknisk videnskab (civilingeniør) Kvantitativ biologi og sygdomsmodellering, Kongens Lyngby, Studiestart: sommerstart;30;3;90;29;9,3;7,3
1210;15110;Diplomingeniør, arktisk teknologi, Kongens Lyngby, Studiestart: sommerstart;8;0;37;10;Alle optaget, ledige pladser;
1220;15115;Diplomingeniør, bygningsdesign, Kongens Lyngby, Studiestart: sommerstart;90;11;326;118;7,8;6,3
1230;15120;Diplomingeniør, byggeri og infrastruktur, Kongens Lyngby, Studiestart: sommerstart;150;17;405;168;5,4;Alle optaget
1240;15122;Diplomingeniør, eksport og teknologi, Kongens Lyngby, Studiestart: sommerstart;80;5;186;81;5,3;Alle optaget
1250;15125;Diplomingeniør, elektroteknologi, Kongens Lyngby, Studiestart: sommerstart;80;3;231;68;4,3;Alle optaget
1260;15126;Diplomingeniør, fiskeriteknologi, Kongens Lyngby, Studiestart: sommerstart;3;0;11;6;Alle optaget, ledige pladser;
1270;15127;Diplomingeniør, fødevaresikkerhed og -kvalitet, Kongens Lyngby, Studiestart: sommerstart;40;3;110;38;6,0;Alle optaget
1280;15130;Diplomingeniør, it-elektronik, Kongens Lyngby, Studiestart: sommerstart;40;5;200;40;6,8;5,2
1290;15135;Diplomingeniør, kemi- og bioteknik, Kongens Lyngby, Studiestart: sommerstart;80;1;199;68;3,4;Alle optaget
1300;15140;Diplomingeniør, maskinteknik, Kongens Lyngby, Studiestart: sommerstart;99;0;245;100;Alle optaget, ledige pladser;
1310;15145;Diplomingeniør, proces og innovation, Kongens Lyngby, Studiestart: sommerstart;60;6;185;66;7,7;5,4
1320;15147;Diplomingeniør, produktion (produktionsteknik), Kongens Lyngby, Studiestart: sommerstart;50;6;191;64;6,4;4,1
1330;15150;Diplomingeniør, kemiteknik og International Business, Kongens Lyngby, Studiestart: sommerstart;25;3;115;29;6,8;Alle optaget
1340;15160;Diplomingeniør, it og økonomi, Kongens Lyngby, Studiestart: sommerstart;45;5;184;58;7,6;7,0
1350;15165;Diplomingeniør, mobilitet, transport og logistik, Kongens Lyngby, Studiestart: sommerstart;33;0;97;25;Alle optaget, ledige pladser;
1360;15170;Diplomingeniør, elektrisk energiteknologi, Kongens Lyngby, Studiestart: sommerstart;38;0;121;41;Alle optaget, ledige pladser;
1370;15175;Diplomingeniør, softwareteknologi, Kongens Lyngby, Studiestart: sommerstart;80;10;410;160;8,3;7,2
1380;15180;Diplomingeniør, sundhedsteknologi, Kongens Lyngby, Studiestart: sommerstart;40;5;162;29;6,7;3,8
1390;15432;Bachelor of Science (BSc) in Engineering (General Engineering), Kongens Lyngby, Study start: Summer start;150;12;522;249;7,8;Alle optaget
1400;;Danmarks Tekniske Universitet i alt;2.378;192;8.133;2.943;;
1410;;Roskilde Universitet;;;;;;
1420;16010;Naturvidenskabelig bacheloruddannelse, Roskilde, Studiestart: sommerstart;102;0;257;69;Alle optaget, ledige pladser;
1430;16015;Naturvidenskabelig international bacheloruddannelse, Roskilde, Study start: Summer start;32;0;213;80;Alle optaget, ledige pladser;
1440;16020;Humanistisk bacheloruddannelse, Roskilde, Studiestart: sommerstart;488;0;1.438;576;7,4;
1450;16022;Humanistisk bacheloruddannelse + journalistik + andet fag, Roskilde, Studiestart: sommerstart;74;0;430;160;9,4;
1460;16025;Humanistisk international bacheloruddannelse, Roskilde, Study start: Summer start;120;0;554;182;6,7;
1470;16030;Samfundsvidenskabelig bacheloruddannelse, Roskilde, Studiestart: sommerstart;541;0;1.131;395;5,7;
1480;16032;Samfundsvidenskabelig bacheloruddannelse + journalistik + andet fag, Roskilde, Studiestart: sommerstart;57;0;230;70;9,4;
1490;16035;Samfundsvidenskabelig international bacheloruddannelse, Roskilde, Study start: Summer start;132;0;570;178;6,7;
1500;16040;Humanistisk-teknologisk bacheloruddannelse, Roskilde, Studiestart: sommerstart;246;0;481;181;Alle optaget, ledige pladser;
1510;16042;Humanistisk-teknologisk bacheloruddannelse + journalistik + andet fag, Roskilde, Studiestart: sommerstart;20;0;74;18;6,3;
1520;;Roskilde Universitet i alt;1.812;0;5.378;1.909;;
1530;;Syddansk Universitet;;;;;;
1540;17010;Biologi, Odense M, Studiestart: sommerstart;76;0;220;78;6,9;
1550;17015;Biomedicin, Odense M, Studiestart: sommerstart;108;0;417;78;8,2;
1560;17020;Datalogi, Odense M, Studiestart: sommerstart;106;0;295;112;Alle optaget, ledige pladser;
1570;17025;Farmaci, Odense M, Studiestart: sommerstart;104;0;480;98;Alle optaget;
1580;17040;Idræt og sundhed, Odense M, Studiestart: sommerstart;147;0;322;126;Alle optaget, ledige pladser;
1590;17050;Matematik-økonomi, Odense M, Studiestart: sommerstart;33;0;152;53;7,5;
1600;17064;Matematik og anvendt matematik, Odense M, Studiestart: sommerstart;61;0;155;59;Alle optaget, ledige pladser;
1610;17070;Fysik, Odense M, Studiestart: sommerstart;35;0;85;35;Alle optaget, ledige pladser;
1620;17080;Biokemi og molekylær biologi, Odense M, Studiestart: sommerstart;50;0;234;44;7,9;
1630;17085;Kemi, Odense M, Studiestart: sommerstart;20;0;66;19;Alle optaget, ledige pladser;
1640;17110;Klinisk biomekanik, Odense M, Studiestart: sommer- og vinterstart;108;15;417;170;11,3;10,4
1650;17115;Medicin, Odense M, Studiestart: sommer- og vinterstart;376;50;2.790;773;11,0;10,7
1660;17120;Folkesundhedsvidenskab, Odense M, Studiestart: sommerstart;45;0;172;31;Alle optaget;
1670;17200;Psykologi, Odense M, Studiestart: sommerstart;144;10;1.582;515;11,2;11,1
1680;17210;Dansk, Odense M, Studiestart: sommerstart;67;0;212;54;Alle optaget, ledige pladser;
1690;17215;Engelsk, Odense M, Studiestart: sommerstart;94;0;291;94;5,2;
1700;17217;Amerikanske Studier, Odense M, Studiestart: sommerstart;62;0;212;55;4,4;
1710;17220;Filosofi, Odense M, Studiestart: sommerstart;57;0;203;53;6,3;
1720;17230;Oldtidskundskab, Odense M, Studiestart: sommerstart;26;0;89;29;4,9;
1730;17235;Historie, Odense M, Studiestart: sommerstart;91;0;291;83;Alle optaget, ledige pladser;
1740;17238;Interkulturel pædagogik og dansk som andetsprog, Odense M, Studiestart: sommerstart;35;0;103;24;Alle optaget, ledige pladser;
1750;17240;Litteraturvidenskab, Odense M, Studiestart: sommerstart;46;0;146;39;5,3;
1760;17245;Audiologi, Odense M, Studiestart: sommerstart;37;1;116;32;4,6;Alle optaget, ledige pladser
1770;17247;Audiologopædi, Odense M, Studiestart: sommerstart;63;0;188;65;7,4;
1780;17250;Medievidenskab, Odense M, Studiestart: sommerstart;99;0;322;116;8,7;
1790;17260;Religionsstudier, Odense M, Studiestart: sommerstart;38;0;125;27;Alle optaget, ledige pladser;
1800;17270;Tysk, Odense M, Studiestart: sommerstart;16;0;44;15;Alle optaget, ledige pladser;
1810;17310;International virksomhedskommunikation i 2 fremmedsprog, Odense M, Studiestart: sommerstart;19;0;55;15;Alle optaget, ledige pladser;
1820;17312;International virksomhedskommunikation i engelsk, Odense M, Studiestart: sommerstart;53;0;276;76;8,3;
1830;17316;International virksomhedskommunikation i tysk, Odense M, Studiestart: sommerstart;15;0;42;11;Alle optaget, ledige pladser;
1840;17410;Jura, Odense M, Studiestart: sommerstart;175;0;1.008;276;9,4;
1850;17412;Samfundsfag, Odense M, Studiestart: sommerstart;32;0;186;28;8,5;
1860;17415;Statskundskab, Odense M, Studiestart: sommerstart;112;0;396;102;9,5;
1870;17420;Økonomi, Odense M, Studiestart: sommerstart;71;0;194;55;Alle optaget, ledige pladser;
1880;17430;Market and Management Anthropology, Odense M, Study start: Summer start;86;0;295;118;8,0;
1890;17510;Erhvervsøkonomi, HA, Odense M, Studiestart: sommerstart;243;0;808;295;7,0;
1900;17520;Erhvervsøkonomi-jura, HA (jur.), Odense M, Studiestart: sommerstart;52;0;276;51;8,4;
1910;17530;Erhvervsøkonomi-erhvervssprog (negot) (SDU - Odense), Odense M, Studiestart: sommerstart;122;0;298;120;5,8;
1920;17610;Journalistik, Odense M, Studiestart: sommerstart;103;0;466;169;100 % kvote 2;
1930;17815;Diplomingeniør, bygningsteknik, Odense M, Studiestart: sommerstart;87;0;216;84;Alle optaget, ledige pladser;
1940;17820;Diplomingeniør, elektronik, Odense M, Studiestart: sommerstart;30;0;107;34;Alle optaget, ledige pladser;
1950;17822;Bachelor of Engineering in Global Management and Manufacturing, Odense M, Study start: Summer start;66;4;197;83;5,7;4,0
1960;17825;Diplomingeniør, kemi- og bioteknologi, Odense M, Studiestart: sommerstart;51;0;144;42;Alle optaget, ledige pladser;
1970;17830;Diplomingeniør, softwareteknologi, Odense M, Studiestart: sommerstart;70;0;210;49;Alle optaget, ledige pladser;
1980;17835;Diplomingeniør, integreret design, Odense M, Studiestart: sommerstart;57;3;167;67;5,7;Alle optaget
1990;17840;Diplomingeniør, maskinteknik, Odense M, Studiestart: sommerstart;54;0;131;53;Alle optaget, ledige pladser;
2000;17845;Diplomingeniør, produktion (produktionsteknik), Odense M, Studiestart: sommerstart;48;0;133;47;Alle optaget, ledige pladser;
2010;17850;Diplomingeniør, elektrisk energiteknologi, Odense M, Studiestart: sommerstart;31;0;79;27;Alle optaget, ledige pladser;
2020;17855;Diplomingeniør, robotteknologi, Odense M, Studiestart: sommerstart;66;0;202;62;Alle optaget, ledige pladser;
2030;17860;Teknisk videnskab (civilingeniør) Velfærdsteknologi, Odense M, Studiestart: sommerstart;33;0;102;28;Alle optaget;
2040;17865;Teknisk videnskab (civilingeniør) Lærings- og oplevelsesteknologi, Odense M, Studiestart: sommerstart;34;0;66;31;Alle optaget;
2050;17870;Teknisk videnskab (civilingeniør) Robotteknologi, Odense M, Studiestart: sommerstart;65;0;214;94;8,0;
2060;17875;Teknisk videnskab (civilingeniør) Fysik og teknologi, Odense M, Studiestart: sommerstart;23;0;72;23;Alle optaget;
2070;17880;Teknisk videnskab (civilingeniør) Kemi og bioteknologi, Odense M, Studiestart: sommerstart;35;0;128;32;Alle optaget;
2080;17890;Bachelor of Science (BSc) in Engineering (Product Development and Innovation), Odense M, Study start: Summer start;58;0;200;64;Alle optaget;
2090;17892;Teknisk videnskab (civilingeniør) Software Engineering, Odense M, Studiestart: sommerstart;100;0;314;124;6,5;
2100;17895;Teknisk videnskab (civilingeniør) Energiteknologi, Odense M, Studiestart: sommerstart;35;0;82;32;4,2;
2110;18005;Bibliotekskundskab og videnskommunikation, Kolding, Studiestart: sommerstart;34;0;67;34;Alle optaget, ledige pladser;
2120;18020;Informationsvidenskab, it og interaktionsdesign, Kolding, Studiestart: sommerstart;33;0;85;29;4,1;
2130;18030;Designkultur og økonomi, Kolding, Studiestart: sommerstart;76;0;179;75;6,3;
2140;18035;Designkultur, Kolding, Studiestart: sommerstart;46;0;157;44;5,4;
2150;18140;International virksomhedskommunikation i engelsk, Kolding, Studiestart: sommerstart;45;0;117;36;4,3;
2160;18210;Erhvervsøkonomi, HA, Kolding, Studiestart: sommerstart;142;0;361;108;Alle optaget;
2170;19010;Bachelor of Science (BSc) in Engineering (Innovation and Business), Sønderborg, Study start: Summer start;18;0;103;35;Alle optaget, ledige pladser;
2180;19020;Bachelor of Science (BSc) in Engineering (Mechatronics), Sønderborg, Study start: Summer start;29;0;109;37;Alle optaget, ledige pladser;
2190;19030;Bachelor of Science (BSc) in Engineering (Electronics), Sønderborg, Study start: Summer start;12;0;88;20;Alle optaget, ledige pladser;
2200;19112;Bachelor of Engineering in Electronics, Sønderborg, Study start: Summer start;20;0;127;46;Alle optaget, ledige pladser;
2210;19120;Bachelor of Engineering in Mechatronics, Sønderborg, Study start: Summer start;55;0;150;77;Alle optaget, ledige pladser;
2220;19215;Economics and Business Administration, Sønderborg, Study start: Summer start;58;0;260;74;Alle optaget, ledige pladser;
2230;19220;International erhvervsøkonomi med fremmedsprog, Sønderborg, Studiestart: sommerstart;23;0;49;26;Alle optaget, ledige pladser;
2240;19225;European Studies, Sønderborg, Study start: Summer start;29;0;132;47;Alle optaget, ledige pladser;
2250;20210;Erhvervsøkonomi, HA, Esbjerg, Studiestart: sommerstart;71;0;191;77;Alle optaget, ledige pladser;
2260;20220;Sociologi og kulturanalyse, Esbjerg, Studiestart: sommerstart;62;0;161;52;Alle optaget, ledige pladser;
2270;20500;International virksomhedskommunikation i engelsk, Slagelse, Studiestart: sommerstart;112;0;252;85;Alle optaget, ledige pladser;
2280;20525;Professionsbachelor, erhvervssprog og IT-baseret markedskommunikation, Slagelse, Studiestart: sommerstart;41;0;97;30;Alle optaget, ledige pladser;
2290;20530;Erhvervsøkonomi, HA, Slagelse, Studiestart: sommerstart;173;0;571;131;6,0;
2300;;Syddansk Universitet i alt;5.249;83;20.049;6.232;;
2310;;Aarhus Universitet;;;;;;
2320;22010;Medicin, Aarhus C, Studiestart: sommer- og vinterstart;553;32;2.866;991;10,9;10,8
2330;22015;Odontologi, Aarhus C, Studiestart: sommerstart;87;6;833;298;10,9;10,8
2340;22020;Professionsbachelor, tandplejer, Aarhus C, Studiestart: sommerstart;79;15;449;185;9,1;8,5
2350;22022;Klinisk tandtekniker, Aarhus C, Studiestart: sommerstart;15;0;35;15;100 % kvote 2, ledige pladser;
2360;22025;Folkesundhedsvidenskab, Aarhus C, Studiestart: sommerstart;55;7;189;47;8,4;Alle optaget, ledige pladser
2370;22105;Molekylær medicin, Aarhus C, Studiestart: sommerstart;67;6;349;88;10,5;10,4
2380;22110;Biologi, Aarhus C, Studiestart: sommerstart;118;0;319;117;Alle optaget, ledige pladser;
2390;22115;Datalogi, Aarhus C, Studiestart: sommerstart;155;0;371;174;Alle optaget, ledige pladser;
2400;22117;Datavidenskab, Aarhus C, Studiestart: sommerstart;30;1;103;41;8,2;Alle optaget
2410;22120;Fysik, Aarhus C, Studiestart: sommerstart;80;1;173;98;7,5;Alle optaget
2420;22125;Geoscience, Aarhus C, Studiestart: sommerstart;19;0;56;24;Alle optaget, ledige pladser;
2430;22130;Idræt, Aarhus C, Studiestart: sommerstart;80;10;280;133;8,1;6,5
2440;22131;Teknisk videnskab (civilingeniør) Bioteknologi, Aarhus C, Studiestart: sommerstart;39;0;152;44;Alle optaget, ledige pladser;
2450;22132;Teknisk videnskab (civilingeniør) Kemiteknologi, Aarhus C, Studiestart: sommerstart;24;1;110;26;8,8;Alle optaget
2460;22134;Teknisk videnskab (civilingeniør) Elektroteknologi, Aarhus C, Studiestart: sommerstart;33;1;105;37;8,6;Alle optaget
2470;22135;Kemi, Aarhus C, Studiestart: sommerstart;31;0;104;32;Alle optaget, ledige pladser;
2480;22136;Teknisk videnskab (civilingeniør) Computerteknologi, Aarhus C, Studiestart: sommerstart;30;0;119;35;7,6;Alle optaget
2490;22137;Teknisk videnskab (civilingeniør) Byggeri, Aarhus C, Studiestart: sommerstart;38;0;114;40;Alle optaget, ledige pladser;
