;OptOmrNr;Optagelsesområder; Antal Optagne ;; Antal ansøgere ;;Adgangskvotient;
;;; optagne ; standby ; total ; 1. prioritet ;kvote 1 kvotient;standby
10;;Københavns Universitet;;;;;;
490;10344;Klassisk arkæologi, København S, Studiestart: sommerstart; 23 ; 5 ; 100 ; 39 ;7,4;6,1
500;10345;Kommunikation og it, København S, Studiestart: sommerstart; 115 ; 9 ; 466 ; 114 ;7,8;7,6
510;10346;Asienstudier (koreastudier), København S, Studiestart: sommerstart; 28 ; 3 ; 162 ; 72 ;8,6;8,0
520;10348;Kunsthistorie, København S, Studiestart: sommerstart; 60 ; 7 ; 386 ; 139 ;9,3;9,0
530;10350;Latin, København S, Studiestart: sommerstart; 12 ; -   ; 48 ; 11 ;6,5;Alle optaget, ledige pladser
540;10352;Litteraturvidenskab, København S, Studiestart: sommerstart; 73 ; 9 ; 345 ; 120 ;9,5;8,5
550;10353;Mellemøstens sprog og samfund (arabisk, hebraisk, persisk, tyrkisk), København S, Studiestart: sommerstart; 73 ; -   ; 227 ; 77 ;Alle optaget, ledige pladser;
560;10354;Musikvidenskab, København S, Studiestart: sommerstart; 68 ; -   ; 139 ; 89 ;Alle optaget, ledige pladser;
570;10360;Mellemøstens sprog og samfund (assyriologi, nærorientalsk arkæologi, ægyptologi), København S, Studiestart: sommerstart; 16 ; -   ; 82 ; 24 ;6,0;Alle optaget, ledige pladser
580;10368;Psykologi, København K, Studiestart: sommerstart; 258 ; 30 ; 3.116 ; 1.489 ;10,8;10,6
590;10370;Pædagogik, København S, Studiestart: sommerstart; 64 ; 7 ; 302 ; 77 ;8,7;8,2
600;10372;Religionsvidenskab, København S, Studiestart: sommerstart; 73 ; 4 ; 282 ; 60 ;6,6;Alle optaget, ledige pladser
610;10374;Retorik, København S, Studiestart: sommerstart; 60 ; 7 ; 313 ; 88 ;9,0;8,4
620;10378;Spansk sprog og kultur, København S, Studiestart: sommerstart; 53 ; -   ; 163 ; 57 ;Alle optaget, ledige pladser;
630;10380;Lingvistik, København S, Studiestart: sommerstart; 34 ; 4 ; 156 ; 51 ;9,0;7,8
640;10382;Teater- og performancestudier, København S, Studiestart: sommerstart; 42 ; 6 ; 167 ; 63 ;8,4;7,5
650;10390;Tysk sprog og kultur, København S, Studiestart: sommerstart; 30 ; -   ; 91 ; 30 ;Alle optaget, ledige pladser;
660;10393;Østeuropastudier, København S, Studiestart: sommerstart; 43 ; -   ; 118 ; 36 ;6,0;Alle optaget, ledige pladser
670;10395;Informationsstudier, København S, Studiestart: sommerstart; 97 ; -   ; 263 ; 71 ;Alle optaget, ledige pladser;
680;10410;Jura, København S, Studiestart: sommerstart; 836 ; 80 ; 3.189 ; 1.578 ;9,2;8,9
690;10415;Samfundsfag, København K, Studiestart: sommerstart; 54 ; 8 ; 472 ; 67 ;9,6;9,4
700;10420;Statskundskab, København K, Studiestart: sommerstart; 284 ; 30 ; 1.216 ; 557 ;10,3;10,0
710;10430;Økonomi, København K, Studiestart: sommerstart; 364 ; 4 ; 875 ; 297 ;6,4;Alle optaget, ledige pladser
720;10435;Sociologi, København K, Studiestart: sommerstart; 120 ; 17 ; 911 ; 165 ;9,8;9,5
730;10440;Antropologi, København K, Studiestart: sommerstart; 111 ; 14 ; 1.007 ; 250 ;10,1;9,9
740;10500;Teologi, København S, Studiestart: sommerstart; 143 ; -   ; 285 ; 146 ;2,0;Alle optaget, ledige pladser
750;;Københavns Universitet i alt; 7.674 ; 509 ; 34.266 ; 13.205 ;;
760;;Copenhagen Business School - Handelshøjskolen;;;;;;
770;13010;Erhvervsøkonomi, HA, Frederiksberg, Studiestart: sommerstart; 763 ; -   ; 2.580 ; 901 ;8,0;
780;13015;Erhvervsøkonomi-informationsteknologi, HA (it.), Frederiksberg, Studiestart: sommerstart; 150 ; -   ; 493 ; 154 ;8,1;
790;13020;Erhvervsøkonomi-erhvervsret, HA (jur.), Frederiksberg, Studiestart: sommerstart; 241 ; -   ; 1.319 ; 302 ;8,2;
800;13023;Erhvervsøkonomi og markeds- og kulturanalyse, HA i markeds- og kulturanalyse, Frederiksberg, Studiestart: sommerstart; 101 ; -   ; 610 ; 220 ;9,9;
810;13025;Erhvervsøkonomi-matematik, HA (mat.), Frederiksberg, Studiestart: sommerstart; 105 ; -   ; 359 ; 99 ;8,2;
820;13030;Erhvervsøkonomi-filosofi, HA (fil.), Frederiksberg, Studiestart: sommerstart; 81 ; -   ; 325 ; 67 ;8,3;
830;13035;Erhvervsøkonomi-virksomhedskommunikation, HA (kom.), Frederiksberg, Studiestart: sommerstart; 186 ; -   ; 822 ; 249 ;9,0;
840;13040;Erhvervsøkonomi-psykologi, HA (psyk.), Frederiksberg, Studiestart: sommerstart; 186 ; -   ; 1.099 ; 405 ;9,3;
850;13045;Erhvervsøkonomi, HA (Projektledelse), Frederiksberg, Studiestart: sommerstart; 157 ; -   ; 963 ; 402 ;10,2;
860;13055;Business, Language and Culture, Frederiksberg, Study start: Summer start; 137 ; -   ; 532 ; 189 ;8,3;
870;13060;International Business, Frederiksberg, Study start: Summer start; 222 ; -   ; 1.484 ; 844 ;11,1;
880;13070;International Business and Politics, Frederiksberg, Study start: Summer start; 142 ; -   ; 929 ; 372 ;11,1;
890;13075;Business Administration and Sociology, Frederiksberg, Study start: Summer start; 91 ; -   ; 791 ; 225 ;10,4;
900;13080;Business Administration and Service Management, Frederiksberg, Study start: Summer start; 169 ; -   ; 734 ; 200 ;8,6;
910;13085;Business, Asian Language and Culture - International Business in Asia, Japanese/English, Frederiksberg, Study start: Summer start; 30 ; -   ; 115 ; 55 ;8,7;
920;13090;Business, Asian Language and Culture - International Business in Asia, Chinese/English, Frederiksberg, Study start: Summer start; 61 ; -   ; 162 ; 93 ;8,6;
930;13100;Business Administration and Digital Management, Frederiksberg, Study start: Summer start; 176 ; -   ; 1.027 ; 421 ;10,0;
940;13280;International Shipping and Trade, Frederiksberg, Study start: Summer start; 66 ; -   ; 438 ; 140 ;9,6;
950;13290;Europæisk business, HA i europæisk business, Frederiksberg, Studiestart: sommerstart; 190 ; -   ; 616 ; 199 ;8,7;
960;;Copenhagen Business School - Handelshøjskolen i alt; 3.254 ; -   ; 15.398 ; 5.537 ;;
970;;IT-Universitetet i København;;;;;;
980;14505;Digital design og interaktive teknologier, København S, Studiestart: sommerstart; 64 ; -   ; 376 ; 135 ;8,9;
990;14510;Softwareudvikling, København S, Studiestart: sommerstart; 180 ; -   ; 596 ; 314 ;8,2;
1000;14515;Global Business Informatics, København S, Study start: Summer start; 111 ; -   ; 391 ; 107 ;7,5;
1010;14525;Data Science, København S, Study start: Summer start; 98 ; -   ; 562 ; 248 ;8,3;
1020;;IT-Universitetet i København i alt; 453 ; -   ; 1.925 ; 804 ;;
1030;;Danmarks Tekniske Universitet;;;;;;
1040;15015;Teknisk videnskab (civilingeniør) Byggeteknologi, Kgs. Lyngby, Studiestart: sommerstart; 72 ; 7 ; 256 ; 94 ;7,4;5,5
1050;15016;Teknisk videnskab (civilingeniør) Bæredygtigt energidesign, Kgs. Lyngby, Studiestart: sommerstart; 60 ; 6 ; 215 ; 71 ;7,6;4,2
1060;15017;Teknisk videnskab (civilingeniør) Bygningsdesign, Kgs. Lyngby, Studiestart: sommerstart; 60 ; 6 ; 230 ; 70 ;8,4;6,6
1070;15020;Teknisk videnskab (civilingeniør) Design og innovation, Kgs. Lyngby, Studiestart: sommerstart; 72 ; 7 ; 230 ; 80 ;7,3;6,5
1080;15025;Teknisk videnskab (civilingeniør) Elektroteknologi, Kgs. Lyngby, Studiestart: sommerstart; 73 ; 7 ; 218 ; 88 ;7,5;5,0
1090;15030;Teknisk videnskab (civilingeniør) Fysik og nanoteknologi, Kgs. Lyngby, Studiestart: sommerstart; 60 ; 3 ; 180 ; 74 ;8,5;Alle optaget
1100;15033;Teknisk videnskab (civilingeniør) Geofysik og Rumteknologi, Kgs. Lyngby, Studiestart: sommerstart; 60 ; 4 ; 165 ; 67 ;6,8;Alle optaget
1110;15035;Teknisk videnskab (civilingeniør) Kemi og teknologi, Kgs. Lyngby, Studiestart: sommerstart; 72 ; 7 ; 231 ; 79 ;8,3;5,1
1120;15037;Teknisk videnskab (civilingeniør) Kunstig intelligens og data, Kgs. Lyngby, Studiestart: sommerstart; 95 ; 9 ; 335 ; 132 ;8,9;7,4
1130;15040;Teknisk videnskab (civilingeniør) Cyberteknologi, Kgs. Lyngby, Studiestart: sommerstart; 40 ; 4 ; 183 ; 36 ;5,7;3,9
1140;15045;Teknisk videnskab (civilingeniør) Matematik og teknologi, Kgs. Lyngby, Studiestart: sommerstart; 78 ; 8 ; 245 ; 100 ;8,3;Alle optaget
1150;15050;Teknisk videnskab (civilingeniør) Medicin og teknologi, Kgs. Lyngby, Studiestart: sommerstart; 90 ; 9 ; 386 ; 95 ;8,3;7,1
1160;15055;Teknisk videnskab (civilingeniør) Vand, bioressourcer og miljømanagement, Kgs. Lyngby, Studiestart: sommerstart; 51 ; -   ; 131 ; 46 ;Alle optaget, ledige pladser;
1170;15060;Teknisk videnskab (civilingeniør) Produktion og konstruktion, Kgs. Lyngby, Studiestart: sommerstart; 72 ; 7 ; 176 ; 86 ;7,7;5,9
1180;15065;Teknisk videnskab (civilingeniør) Softwareteknologi, Kgs. Lyngby, Studiestart: sommerstart; 100 ; 10 ; 401 ; 139 ;8,3;6,9
1190;15080;Teknisk videnskab (civilingeniør) Strategisk analyse og systemdesign , Kgs. Lyngby, Studiestart: sommerstart; 42 ; -   ; 87 ; 42 ;Alle optaget, ledige pladser;
1200;15090;Teknisk videnskab (civilingeniør) Life Science og Teknologi, Kgs. Lyngby, Studiestart: sommerstart; 150 ; 15 ; 401 ; 198 ;8,5;7,5
1210;15110;Diplomingeniør, arktisk byggeri og infrastruktur, Ballerup, Studiestart: sommerstart; 24 ; -   ; 62 ; 26 ;Alle optaget;
1220;15115;Diplomingeniør, bygningsdesign, Kgs. Lyngby, Studiestart: sommerstart; 80 ; 8 ; 340 ; 99 ;7,7;7,0
1230;15120;Diplomingeniør, byggeri og infrastruktur, Ballerup, Studiestart: sommerstart; 125 ; 9 ; 343 ; 152 ;5,5;Alle optaget
1240;15122;Diplomingeniør, eksport og teknologi, Ballerup, Studiestart: sommerstart; 70 ; 7 ; 171 ; 78 ;5,6;3,8
1250;15125;Diplomingeniør, elektroteknologi, Ballerup, Studiestart: sommerstart; 57 ; -   ; 151 ; 48 ;Alle optaget, ledige pladser;
1260;15126;Diplomingeniør, fiskeriteknologi, Kgs. Lyngby, Studiestart: sommerstart; 7 ; -   ; 16 ; 7 ;Alle optaget, ledige pladser;
1270;15127;Diplomingeniør, fødevaresikkerhed og -kvalitet, Kgs. Lyngby, Studiestart: sommerstart; 25 ; -   ; 102 ; 21 ;Alle optaget, ledige pladser;
1280;15130;Diplomingeniør, it-elektronik, Ballerup, Studiestart: sommerstart; 40 ; 4 ; 170 ; 41 ;5,9;5,5
1290;15135;Diplomingeniør, kemi- og bioteknik, Kgs. Lyngby, Studiestart: sommerstart; 60 ; 6 ; 215 ; 74 ;5,7;4,7
1300;15140;Diplomingeniør, maskinteknik, Kgs. Lyngby, Studiestart: sommerstart; 90 ; -   ; 209 ; 82 ;2,8;Alle optaget
1310;15145;Diplomingeniør, proces og innovation, Ballerup, Studiestart: sommerstart; 60 ; 6 ; 161 ; 63 ;6,5;Alle optaget
1320;15147;Diplomingeniør, produktion (produktionsteknik), Ballerup, Studiestart: sommerstart; 40 ; 4 ; 148 ; 63 ;6,6;5,5
1330;15150;Diplomingeniør, kemiteknik og International Business , Kgs. Lyngby, Studiestart: sommerstart; 25 ; 1 ; 98 ; 27 ;6,6;Alle optaget
1340;15160;Diplomingeniør, it og økonomi, Kgs. Lyngby, Studiestart: sommerstart; 41 ; 4 ; 187 ; 48 ;6,7;6,3
1350;15165;Diplomingeniør, mobilitet, transport og logistik, Kgs. Lyngby, Studiestart: sommerstart; 38 ; -   ; 109 ; 38 ;Alle optaget, ledige pladser;
1360;15170;Diplomingeniør, elektrisk energiteknologi, Ballerup, Studiestart: sommerstart; 28 ; -   ; 93 ; 26 ;Alle optaget, ledige pladser;
1370;15175;Diplomingeniør, softwareteknologi, Kgs. Lyngby, Studiestart: sommerstart; 120 ; 12 ; 429 ; 177 ;6,9;5,8
1380;15180;Diplomingeniør, sundhedsteknologi, Ballerup, Studiestart: sommerstart; 40 ; 4 ; 141 ; 35 ;5,7;3,5
1390;15432;Bachelor of Science (BSc) in Engineering (General Engineering), Kgs. Lyngby, Study start: Summer start; 145 ; 17 ; 516 ; 296 ;9,0;Alle optaget
1400;;Danmarks Tekniske Universitet i alt; 2.362 ; 191 ; 7.731 ; 2.898 ;;
1410;;Roskilde Universitet;;;;;;
1420;16010;Naturvidenskabelig bacheloruddannelse, Roskilde, Studiestart: sommerstart; 107 ; -   ; 240 ; 75 ;Alle optaget, ledige pladser;
1430;16015;Naturvidenskabelig international bacheloruddannelse, Roskilde, Study start: Summer start; 71 ; -   ; 256 ; 117 ;Alle optaget, ledige pladser;
1440;16020;Humanistisk bacheloruddannelse, Roskilde, Studiestart: sommerstart; 514 ; -   ; 1.264 ; 388 ;6,3;
1450;16022;Humanistisk bacheloruddannelse + journalistik + andet fag, Roskilde, Studiestart: sommerstart; 75 ; -   ; 419 ; 150 ;8,4;
1460;16025;Humanistisk international bacheloruddannelse, Roskilde, Study start: Summer start; 96 ; -   ; 497 ; 194 ;6,5;
1470;16030;Samfundsvidenskabelig bacheloruddannelse, Roskilde, Studiestart: sommerstart; 457 ; -   ; 970 ; 285 ;Alle optaget, ledige pladser;
1480;16032;Samfundsvidenskabelig bacheloruddannelse + journalistik + andet fag, Roskilde, Studiestart: sommerstart; 56 ; -   ; 227 ; 69 ;8,3;
1490;16035;Samfundsvidenskabelig international bacheloruddannelse, Roskilde, Study start: Summer start; 138 ; -   ; 557 ; 166 ;4,6;
1500;16040;Humanistisk-teknologisk bacheloruddannelse, Roskilde, Studiestart: sommerstart; 137 ; -   ; 311 ; 107 ;Alle optaget, ledige pladser;
1510;16042;Humanistisk-teknologisk bacheloruddannelse + journalistik + andet fag, Roskilde, Studiestart: sommerstart; 19 ; -   ; 69 ; 13 ;3,7;
1520;;Roskilde Universitet i alt; 1.670 ; -   ; 4.810 ; 1.564 ;;
1530;;Syddansk Universitet;;;;;;
1540;17010;Biologi, Odense M, Studiestart: sommerstart; 76 ; -   ; 264 ; 88 ;7,2;
