;OptOmrNr;Optagelsesområder;Antal Optagne;;Antal ansøgere;;Adgangskvotient;
;;;optagne;standby;total;1. prioritet;kvote 1 kvotient;standby
10;;Københavns Universitet;;;;;;
510;10346;Asienstudier (koreastudier), København S, Studiestart: sommerstart; 28 ; 3 ; 109 ; 51 ;7,0;6,8
520;10348;Kunsthistorie, København S, Studiestart: sommerstart; 64 ; 12 ; 360 ; 127 ;9,3;8,5
530;10350;Latin, København S, Studiestart: sommerstart; 10 ;; 37 ; 7 ;Alle optaget, ledige pladser;
540;10352;Litteraturvidenskab, København S, Studiestart: sommerstart; 71 ; 7 ; 326 ; 107 ;9,2;9,0
550;10353;Mellemøstens sprog og samfund (arabisk, hebraisk, persisk, tyrkisk), København S, Studiestart: sommerstart; 48 ;; 157 ; 59 ;Alle optaget, ledige pladser;
560;10354;Musikvidenskab, København S, Studiestart: sommerstart; 40 ;; 101 ; 54 ;Alle optaget, ledige pladser;
570;10360;Mellemøstens sprog og samfund (assyriologi, nærorientalsk arkæologi, ægyptologi), København S, Studiestart: sommerstart; 16 ;; 67 ; 19 ;Alle optaget;Alle optaget, ledige pladser
580;10368;Psykologi, København K, Studiestart: sommerstart; 272 ; 20 ; 3.053 ; 1.471 ;11;10,9
590;10370;Pædagogik, København S, Studiestart: sommerstart; 64 ; 7 ; 294 ; 69 ;8,8;8,5
600;10372;Religionsvidenskab, København S, Studiestart: sommerstart; 58 ;; 204 ; 53 ;Alle optaget, ledige pladser;
610;10374;Retorik, København S, Studiestart: sommerstart; 57 ; 10 ; 248 ; 74 ;8,9;8,4
620;10378;Spansk og latinamerikansk sprog og kultur, København S, Studiestart: sommerstart; 50 ;; 137 ; 59 ;6,0;Alle optaget, ledige pladser
630;10380;Lingvistik, København S, Studiestart: sommerstart; 34 ; 2 ; 146 ; 50 ;9,3;7,9
640;10382;Teater- og performancestudier, København S, Studiestart: sommerstart; 42 ; 4 ; 143 ; 49 ;7,9;7,4
650;10390;Tysk sprog og kultur, København S, Studiestart: sommerstart; 21 ;; 63 ; 21 ;Alle optaget, ledige pladser;
660;10393;Østeuropastudier, København S, Studiestart: sommerstart; 28 ;; 87 ; 33 ;Alle optaget, ledige pladser;
670;10395;Informationsstudier, København S, Studiestart: sommerstart; 62 ;; 216 ; 50 ;Alle optaget, ledige pladser;
680;10410;Jura, København S, Studiestart: sommerstart; 835 ; 90 ; 2.807 ; 1.326 ;8,9;8,3
690;10415;Samfundsfag, København K, Studiestart: sommerstart; 51 ; 5 ; 388 ; 76 ;9,6;9,4
700;10420;Statskundskab, København K, Studiestart: sommerstart; 298 ; 35 ; 1.205 ; 508 ;10,2;9,7
710;10430;Økonomi, København K, Studiestart: sommerstart; 354 ;; 875 ; 306 ;Alle optaget, ledige pladser;
720;10435;Sociologi, København K, Studiestart: sommerstart; 130 ; 10 ; 832 ; 180 ;9,9;9,7
730;10440;Antropologi, København K, Studiestart: sommerstart; 90 ; 12 ; 924 ; 237 ;10,1;9,9
740;10500;Teologi, København S, Studiestart: sommerstart; 90 ;; 204 ; 117 ;Alle optaget, ledige pladser;
750;;Københavns Universitet i alt; 7.175 ; 399 ; 30.833 ; 11.930 ;;
760;;Copenhagen Business School - Handelshøjskolen;;;;;;
770;13010;Erhvervsøkonomi, HA, Frederiksberg, Studiestart: sommerstart; 760 ;; 2.251 ; 796 ;7,8;
780;13015;Erhvervsøkonomi-informationsteknologi, HA (it.), Frederiksberg, Studiestart: sommerstart; 150 ;; 439 ; 131 ;7,5;
790;13020;Erhvervsøkonomi-erhvervsret, HA (jur.), Frederiksberg, Studiestart: sommerstart; 240 ;; 959 ; 212 ;7,4;
800;13023;Erhvervsøkonomi og markeds- og kulturanalyse, HA i markeds- og kulturanalyse, Frederiksberg, Studiestart: sommerstart; 100 ;; 466 ; 185 ;9,5;
810;13025;Erhvervsøkonomi-matematik, HA (mat.), Frederiksberg, Studiestart: sommerstart; 105 ;; 325 ; 97 ;8,2;
820;13030;Erhvervsøkonomi-filosofi, HA (fil.), Frederiksberg, Studiestart: sommerstart; 80 ;; 258 ; 37 ;7,4;
830;13035;Erhvervsøkonomi-virksomhedskommunikation, HA (kom.), Frederiksberg, Studiestart: sommerstart; 185 ;; 784 ; 233 ;9,0;
840;13040;Erhvervsøkonomi-psykologi, HA (psyk.), Frederiksberg, Studiestart: sommerstart; 165 ;; 1.069 ; 409 ;9,6;
850;13045;Erhvervsøkonomi, HA (Projektledelse), Frederiksberg, Studiestart: sommerstart; 130 ;; 889 ; 378 ;10,3;
860;13055;Business, Language and Culture, Frederiksberg, Study start: Summer start; 135 ;; 521 ; 191 ;7,3;
870;13060;International Business, Frederiksberg, Study start: Summer start; 220 ;; 1.797 ; 957 ;11,5;
880;13070;International Business and Politics, Frederiksberg, Study start: Summer start; 140 ;; 1.028 ; 343 ;11,1;
890;13075;Business Administration and Sociology, Frederiksberg, Study start: Summer start; 90 ;; 813 ; 184 ;10,3;
900;13080;Business Administration and Service Management, Frederiksberg, Study start: Summer start; 165 ;; 813 ; 222 ;8,4;
910;13085;Business, Asian Language and Culture - International Business in Asia, Japanese/English, Frederiksberg, Study start: Summer start; 30 ;; 96 ; 46 ;8,4;
920;13090;Business, Asian Language and Culture - International Business in Asia, Chinese/English, Frederiksberg, Study start: Summer start; 46 ;; 124 ; 54 ;Alle optaget;
930;13100;Business Administration and Digital Management, Frederiksberg, Study start: Summer start; 175 ;; 1.223 ; 430 ;10,1;
940;13280;International Shipping and Trade, Frederiksberg, Study start: Summer start; 75 ;; 559 ; 149 ;10,0;
950;13290;Europæisk business, HA i europæisk business, Frederiksberg, Studiestart: sommerstart; 190 ;; 552 ; 173 ;8,6;
960;;Copenhagen Business School - Handelshøjskolen i alt; 3.181 ;; 14.966 ; 5.227 ;;
970;;IT-Universitetet i København;;;;;;
980;14505;Digital design og interaktive teknologier, København S, Studiestart: sommerstart; 69 ;; 322 ; 92 ;8,0;
990;14510;Softwareudvikling, København S, Studiestart: sommerstart; 176 ;; 513 ; 251 ;7,9;
1000;14515;Global Business Informatics, København S, Study start: Summer start; 70 ;; 397 ; 123 ;8,0;
1010;14525;Data Science, København S, Study start: Summer start; 101 ;; 598 ; 262 ;8,8;
1020;;IT-Universitetet i København i alt; 416 ;; 1.830 ; 728 ;;
1030;;Danmarks Tekniske Universitet;;;;;;
1040;15015;Teknisk videnskab (civilingeniør) Byggeteknologi, Kgs. Lyngby, Studiestart: sommerstart; 72 ; 2 ; 200 ; 67 ;5,7;Alle optaget
1050;15016;Teknisk videnskab (civilingeniør) Bæredygtigt energidesign, Kgs. Lyngby, Studiestart: sommerstart; 60 ; 6 ; 221 ; 69 ;7,4;Alle optaget
1060;15017;Teknisk videnskab (civilingeniør) Bygningsdesign, Kgs. Lyngby, Studiestart: sommerstart; 60 ; 6 ; 225 ; 66 ;7,8;4,5
1070;15020;Teknisk videnskab (civilingeniør) Design og innovation, Kgs. Lyngby, Studiestart: sommerstart; 62 ; 6 ; 224 ; 81 ;7,5;6,0
1080;15025;Teknisk videnskab (civilingeniør) Elektroteknologi, Kgs. Lyngby, Studiestart: sommerstart; 72 ; 4 ; 198 ; 85 ;7,0;Alle optaget
1090;15030;Teknisk videnskab (civilingeniør) Fysik og nanoteknologi, Kgs. Lyngby, Studiestart: sommerstart; 44 ;; 137 ; 41 ;Alle optaget, ledige pladser;
1100;15033;Teknisk videnskab (civilingeniør) Geofysik og Rumteknologi, Kgs. Lyngby, Studiestart: sommerstart; 48 ;; 129 ; 54 ;7,2;Alle optaget
1110;15035;Teknisk videnskab (civilingeniør) Kemi og teknologi, Kgs. Lyngby, Studiestart: sommerstart; 73 ; 1 ; 197 ; 69 ;5,5;Alle optaget
1120;15037;Teknisk videnskab (civilingeniør) Kunstig intelligens og data, Kgs. Lyngby, Studiestart: sommerstart; 90 ; 6 ; 261 ; 106 ;7,8;Alle optaget
1130;15040;Teknisk videnskab (civilingeniør) Cyberteknologi, Kgs. Lyngby, Studiestart: sommerstart; 30 ; 3 ; 190 ; 27 ;5,5;Alle optaget
1140;15045;Teknisk videnskab (civilingeniør) Matematik og teknologi, Kgs. Lyngby, Studiestart: sommerstart; 72 ; 5 ; 209 ; 80 ;7,7;Alle optaget
1150;15050;Teknisk videnskab (civilingeniør) Medicin og teknologi, Kgs. Lyngby, Studiestart: sommerstart; 120 ; 12 ; 370 ; 103 ;7,2;5,2
1160;15055;Teknisk videnskab (civilingeniør) Miljøteknologi, Kgs. Lyngby, Studiestart: sommerstart; 39 ;; 113 ; 39 ;Alle optaget, ledige pladser;
1170;15060;Teknisk videnskab (civilingeniør) Produktion og konstruktion, Kgs. Lyngby, Studiestart: sommerstart; 74 ; 7 ; 195 ; 88 ;6,9;6,1
1180;15065;Teknisk videnskab (civilingeniør) Softwareteknologi, Kgs. Lyngby, Studiestart: sommerstart; 98 ; 10 ; 370 ; 112 ;7,6;Alle optaget
1190;15080;Teknisk videnskab (civilingeniør) Data science og management, Kgs. Lyngby, Studiestart: sommerstart; 36 ; 4 ; 112 ; 51 ;6,5;4,3
1200;15090;Teknisk videnskab (civilingeniør) Life Science og Teknologi, Kgs. Lyngby, Studiestart: sommerstart; 149 ;; 285 ; 130 ;Alle optaget;
1210;15110;Diplomingeniør, arktisk byggeri og infrastruktur, Sisimiut, Studiestart: sommerstart; 12 ;; 29 ; 21 ;Alle optaget, ledige pladser;
1220;15115;Diplomingeniør, bygningsdesign, Kgs. Lyngby, Studiestart: sommerstart; 78 ; 7 ; 283 ; 102 ;7,9;6,7
1230;15120;Diplomingeniør, byggeri og infrastruktur, Ballerup, Studiestart: sommerstart; 131 ;; 307 ; 129 ;Alle optaget, ledige pladser;
1240;15122;Diplomingeniør, eksport og teknologi, Ballerup, Studiestart: sommerstart; 69 ;; 158 ; 66 ;Alle optaget, ledige pladser;
1250;15125;Diplomingeniør, elektroteknologi, Ballerup, Studiestart: sommerstart; 52 ;; 139 ; 49 ;Alle optaget, ledige pladser;
1260;15126;Diplomingeniør, fiskeriteknologi, Sisimiut, Studiestart: sommerstart; 4 ;; 11 ; 3 ;Alle optaget, ledige pladser;
1270;15127;Diplomingeniør, fødevaresikkerhed og -kvalitet, Kgs. Lyngby, Studiestart: sommerstart; 25 ;; 74 ; 23 ;Alle optaget, ledige pladser;
1280;15130;Diplomingeniør, it-elektronik, Ballerup, Studiestart: sommerstart; 40 ;; 119 ; 35 ;3,6;Alle optaget
1290;15135;Diplomingeniør, kemi- og bioteknik, Kgs. Lyngby, Studiestart: sommerstart; 63 ; 1 ; 181 ; 62 ;5,2;Alle optaget
1300;15140;Diplomingeniør, maskinteknik, Ballerup, Studiestart: sommerstart; 88 ;; 197 ; 91 ;Alle optaget;
1310;15145;Diplomingeniør, proces og innovation, Ballerup, Studiestart: sommerstart; 60 ; 1 ; 134 ; 61 ;3,1;Alle optaget
1320;15147;Diplomingeniør, produktion (produktionsteknik), Ballerup, Studiestart: sommerstart; 50 ; 3 ; 124 ; 55 ;5,5;Alle optaget
1330;15150;Diplomingeniør, kemiteknik og International Business , Kgs. Lyngby, Studiestart: sommerstart; 17 ;; 53 ; 17 ;Alle optaget, ledige pladser;
1340;15160;Diplomingeniør, it og økonomi, Kgs. Lyngby, Studiestart: sommerstart; 50 ; 4 ; 188 ; 57 ;6,3;Alle optaget
1350;15165;Diplomingeniør, mobilitet, transport og logistik, Ballerup, Studiestart: sommerstart; 38 ;; 112 ; 37 ;Alle optaget, ledige pladser;
1360;15170;Diplomingeniør, elektrisk energiteknologi, Ballerup, Studiestart: sommerstart; 27 ;; 81 ; 33 ;Alle optaget, ledige pladser;
1370;15175;Diplomingeniør, softwareteknologi, Kgs. Lyngby, Studiestart: sommerstart; 120 ; 10 ; 403 ; 157 ;6,9;4,8
1380;15180;Diplomingeniør, sundhedsteknologi, Ballerup, Studiestart: sommerstart; 40 ; 4 ; 151 ; 38 ;5,9;4,5
1390;15432;Bachelor of Science (BSc) in Engineering (General Engineering), Kgs. Lyngby, Study start: Summer start; 175 ; 22 ; 645 ; 359 ;9,7;4,8
1400;;Danmarks Tekniske Universitet i alt; 2.338 ; 124 ; 7.025 ; 2.663 ;;
1410;;Roskilde Universitet;;;;;;
1420;16010;Naturvidenskabelig bacheloruddannelse, Roskilde, Studiestart: sommerstart; 71 ;; 169 ; 53 ;Alle optaget, ledige pladser;
1430;16015;Naturvidenskabelig international bacheloruddannelse, Roskilde, Study start: Summer start; 36 ;; 225 ; 84 ;Alle optaget, ledige pladser;
1440;16020;Humanistisk bacheloruddannelse, Roskilde, Studiestart: sommerstart; 473 ;; 922 ; 287 ;Alle optaget, ledige pladser;
1450;16022;Humanistisk bacheloruddannelse + journalistik + andet fag, Roskilde, Studiestart: sommerstart; 67 ;; 394 ; 127 ;8,6;
1460;16025;Humanistisk international bacheloruddannelse, Roskilde, Study start: Summer start; 102 ;; 462 ; 169 ;Alle optaget;
