;OptOmrNr;Optagelsesområder;Antal Optagne;;Antal ansøgere;;Adgangskvotient;
920;;IT-Universitetet i København;;;;;;
930;14505;Digital design og interaktive teknologier, København S, Studiestart: sommerstart;66;0;314;130;9,1;
940;14510;Softwareudvikling, København S, Studiestart: sommerstart;160;0;564;313;8,6;
950;14515;Global Business Informatics, København S, Study start: Summer start;80;0;517;160;8,8;
960;14525;Data Science, København S, Study start: Summer start;76;0;459;182;9,0;
970;;IT-Universitetet i København i alt;382;0;1.854;785;;
980;;Danmarks Tekniske Universitet;;;;;;
990;15010;Teknisk videnskab (civilingeniør) Bioteknologi, Kongens Lyngby, Studiestart: sommerstart;60;6;253;75;8,7;7,6
1000;15015;Teknisk videnskab (civilingeniør) Byggeteknologi, Kongens Lyngby, Studiestart: sommerstart;72;7;233;97;8,3;7,7
1010;15016;Teknisk videnskab (civilingeniør) Bæredygtigt energidesign, Kongens Lyngby, Studiestart: sommerstart;30;3;164;51;9,4;8,4
1020;15017;Teknisk videnskab (civilingeniør) Bygningsdesign, Kongens Lyngby, Studiestart: sommerstart;63;6;247;71;8,6;7,6
1030;15020;Teknisk videnskab (civilingeniør) Design og innovation, Kongens Lyngby, Studiestart: sommerstart;63;7;267;119;9,7;9,2
1040;15025;Teknisk videnskab (civilingeniør) Elektroteknologi, Kongens Lyngby, Studiestart: sommerstart;72;7;199;67;7,9;5,8
1050;15030;Teknisk videnskab (civilingeniør) Fysik og nanoteknologi, Kongens Lyngby, Studiestart: sommerstart;70;6;207;92;9,6;8,4
1060;15033;Teknisk videnskab (civilingeniør) Geofysik og Rumteknologi, Kongens Lyngby, Studiestart: sommerstart;60;2;150;65;6,0;Alle optaget
1070;15035;Teknisk videnskab (civilingeniør) Kemi og teknologi, Kongens Lyngby, Studiestart: sommerstart;72;7;238;95;9,6;7,6
1080;15037;Teknisk videnskab (civilingeniør) Kunstig intelligens og data, Kongens Lyngby, Studiestart: sommerstart;45;4;381;166;10,9;10,1
1090;15040;Teknisk videnskab (civilingeniør) Netværksteknologi og it, Kongens Lyngby, Studiestart: sommerstart;40;4;157;27;6,4;6,0
1100;15045;Teknisk videnskab (civilingeniør) Matematik og teknologi, Kongens Lyngby, Studiestart: sommerstart;90;7;270;117;9,6;9,1
1110;15050;Teknisk videnskab (civilingeniør) Medicin og teknologi, Kongens Lyngby, Studiestart: sommerstart;63;6;313;79;9,3;9,0
1120;15055;Teknisk videnskab (civilingeniør) Vand, bioressourcer og miljømanagement, Kongens Lyngby, Studiestart: sommerstart;60;6;148;60;7,7;Alle optaget
1130;15060;Teknisk videnskab (civilingeniør) Produktion og konstruktion, Kongens Lyngby, Studiestart: sommerstart;72;3;170;79;7,9;Alle optaget
1140;15065;Teknisk videnskab (civilingeniør) Softwareteknologi, Kongens Lyngby, Studiestart: sommerstart;80;7;360;124;9,6;8,7
1150;15075;Teknisk videnskab (civilingeniør) Teknisk biomedicin, Kongens Lyngby, Studiestart: sommerstart;60;6;267;88;9,8;8,7
1160;15080;Teknisk videnskab (civilingeniør) Strategisk analyse og systemdesign , Kongens Lyngby, Studiestart: sommerstart;48;5;134;56;7,3;6,2
1170;15085;Teknisk videnskab (civilingeniør) Kvantitativ biologi og sygdomsmodellering, Kongens Lyngby, Studiestart: sommerstart;33;3;115;44;9,4;9,1
1180;15110;Diplomingeniør, arktisk teknologi, Kongens Lyngby, Studiestart: sommerstart;18;0;49;20;Alle optaget, ledige pladser;
1190;15115;Diplomingeniør, bygningsdesign, Kongens Lyngby, Studiestart: sommerstart;70;9;367;124;8,3;7,3
1200;15120;Diplomingeniør, byggeri og infrastruktur, Kongens Lyngby, Studiestart: sommer- og vinterstart;150;16;388;159;5,5;Alle optaget
1210;15122;Diplomingeniør, eksport og teknologi, Kongens Lyngby, Studiestart: sommer- og vinterstart;80;9;194;88;5,5;Alle optaget
1220;15125;Diplomingeniør, elektroteknologi, Kongens Lyngby, Studiestart: sommer- og vinterstart;80;0;235;74;Alle optaget;
1230;15127;Diplomingeniør, fødevaresikkerhed og -kvalitet, Kongens Lyngby, Studiestart: sommerstart;40;4;122;44;5,5;Alle optaget
1240;15130;Diplomingeniør, it-elektronik, Kongens Lyngby, Studiestart: sommerstart;40;5;189;40;7,2;6,2
1250;15135;Diplomingeniør, kemi- og bioteknik, Kongens Lyngby, Studiestart: sommer- og vinterstart;55;0;176;53;Alle optaget, ledige pladser;
1260;15140;Diplomingeniør, maskinteknik, Kongens Lyngby, Studiestart: sommer- og vinterstart;108;0;250;95;Alle optaget, ledige pladser;
1270;15145;Diplomingeniør, proces og innovation, Kongens Lyngby, Studiestart: sommerstart;50;6;178;74;8,5;6,9
1280;15147;Diplomingeniør, produktion (produktionsteknik), Kongens Lyngby, Studiestart: sommer- og vinterstart;50;4;151;46;5,4;Alle optaget
1290;15150;Diplomingeniør, kemiteknik og International Business , Kongens Lyngby, Studiestart: sommerstart;24;0;82;20;Alle optaget, ledige pladser;
1300;15160;Diplomingeniør, it og økonomi, Kongens Lyngby, Studiestart: sommerstart;50;5;261;95;8,0;7,6
1310;15165;Diplomingeniør, mobilitet, transport og logistik, Kongens Lyngby, Studiestart: sommerstart;27;0;74;23;Alle optaget, ledige pladser;
1320;15170;Diplomingeniør, elektrisk energiteknologi, Kongens Lyngby, Studiestart: sommerstart;40;3;118;44;5,1;Alle optaget
1330;15175;Diplomingeniør, softwareteknologi, Kongens Lyngby, Studiestart: sommerstart;100;10;390;145;7,8;7,5
1340;15180;Diplomingeniør, sundhedsteknologi, Kongens Lyngby, Studiestart: sommerstart;46;5;173;55;6,5;6,2
1350;15432;Bachelor of Science (BSc) in Engineering (General Engineering), Kongens Lyngby, Study start: Summer start;146;0;430;206;Alle optaget;
1360;;Danmarks Tekniske Universitet i alt;2.327;178;8.100;2.977;;
1370;;Roskilde Universitet;;;;;;
1380;16010;Naturvidenskabelig bacheloruddannelse, Roskilde, Studiestart: sommerstart;113;0;296;94;Alle optaget, ledige pladser;
1390;16015;Naturvidenskabelig international bacheloruddannelse, Roskilde, Study start: Summer start;43;0;201;68;Alle optaget, ledige pladser;
1400;16020;Humanistisk bacheloruddannelse, Roskilde, Studiestart: sommerstart;562;25;1.630;647;7,6;7,3
1410;16022;Humanistisk bacheloruddannelse + journalistik + andet fag, Roskilde, Studiestart: sommerstart;73;3;464;163;9,6;9,3
1420;16025;Humanistisk international bacheloruddannelse, Roskilde, Study start: Summer start;124;5;571;202;6,6;6,3
1430;16030;Samfundsvidenskabelig bacheloruddannelse, Roskilde, Studiestart: sommerstart;435;20;1.106;333;5,9;4,9
1440;16032;Samfundsvidenskabelig bacheloruddannelse + journalistik + andet fag, Roskilde, Studiestart: sommerstart;57;3;227;69;9,2;9,0
1450;16035;Samfundsvidenskabelig international bacheloruddannelse, Roskilde, Study start: Summer start;139;5;602;164;6,6;5,6
1460;16040;Humanistisk-teknologisk bacheloruddannelse, Roskilde, Studiestart: sommerstart;253;0;472;185;Alle optaget, ledige pladser;
1470;16042;Humanistisk-teknologisk bacheloruddannelse + journalistik + andet fag, Roskilde, Studiestart: sommerstart;20;1;86;18;6,5;5,8
1480;;Roskilde Universitet i alt;1.819;62;5.655;1.943;;
1490;;Syddansk Universitet;;;;;;
1500;17010;Biologi, Odense M, Studiestart: sommerstart;77;0;207;70;Alle optaget;
1510;17015;Biomedicin, Odense M, Studiestart: sommerstart;110;0;407;79;8,2;
1520;17020;Datalogi, Odense M, Studiestart: sommerstart;99;0;266;97;Alle optaget, ledige pladser;
1530;17025;Farmaci, Odense M, Studiestart: sommerstart;89;0;397;77;Alle optaget, ledige pladser;
1540;17040;Idræt og sundhed, Odense M, Studiestart: sommerstart;178;9;389;167;5,5;Alle optaget
1550;17050;Matematik-økonomi, Odense M, Studiestart: sommerstart;40;0;125;27;Alle optaget;
1560;17064;Matematik og anvendt matematik, Odense M, Studiestart: sommerstart;51;0;128;47;Alle optaget, ledige pladser;
1570;17070;Fysik, Odense M, Studiestart: sommerstart;15;0;47;17;Alle optaget, ledige pladser;
1580;17080;Biokemi og molekylær biologi, Odense M, Studiestart: sommerstart;39;0;206;30;Alle optaget, ledige pladser;
1590;17085;Kemi, Odense M, Studiestart: sommerstart;20;0;62;23;Alle optaget, ledige pladser;
1600;17110;Klinisk biomekanik, Odense M, Studiestart: sommer- og vinterstart;113;25;374;162;10,8;10,3
1610;17115;Medicin, Odense M, Studiestart: sommer- og vinterstart;332;50;2.690;696;11,0;10,9
1620;17120;Folkesundhedsvidenskab, Odense M, Studiestart: sommerstart;71;0;153;36;Alle optaget;
1630;17200;Psykologi, Odense M, Studiestart: sommerstart;130;10;1.485;489;11,1;11,0
1640;17210;Dansk, Odense M, Studiestart: sommerstart;92;0;221;65;Alle optaget;
1650;17215;Engelsk, Odense M, Studiestart: sommerstart;97;0;329;86;4,9;
1660;17217;Amerikanske Studier, Odense M, Studiestart: sommerstart;61;0;152;41;2,5;
1670;17220;Filosofi, Odense M, Studiestart: sommerstart;58;0;187;48;5,5;
1680;17230;Oldtidskundskab, Odense M, Studiestart: sommerstart;29;0;69;23;Alle optaget;
1690;17235;Historie, Odense M, Studiestart: sommerstart;106;0;337;108;6,1;
1700;17238;Interkulturel pædagogik og dansk som andetsprog, Odense M, Studiestart: sommerstart;29;0;101;28;Alle optaget, ledige pladser;
1710;17240;Litteraturvidenskab, Odense M, Studiestart: sommerstart;50;0;171;46;7,0;
1720;17245;Audiologi, Odense M, Studiestart: sommerstart;35;5;107;29;5,8;Alle optaget
1730;17247;Audiologopædi, Odense M, Studiestart: sommerstart;54;0;150;62;7,6;
1740;17250;Medievidenskab, Odense M, Studiestart: sommerstart;98;0;353;128;8,9;
1750;17260;Religionsstudier, Odense M, Studiestart: sommerstart;41;0;109;32;Alle optaget, ledige pladser;
1760;17270;Tysk, Odense M, Studiestart: sommerstart;20;0;44;18;Alle optaget, ledige pladser;
1770;17310;International virksomhedskommunikation i 2 fremmedsprog, Odense M, Studiestart: sommerstart;18;0;54;14;Alle optaget, ledige pladser;
1780;17312;International virksomhedskommunikation i engelsk, Odense M, Studiestart: sommerstart;68;0;279;89;7,8;
1790;17316;International virksomhedskommunikation i tysk, Odense M, Studiestart: sommerstart;19;0;49;16;Alle optaget, ledige pladser;
1800;17410;Jura, Odense M, Studiestart: sommerstart;156;0;1.046;312;9,9;
1810;17412;Samfundsfag, Odense M, Studiestart: sommerstart;33;0;166;23;8,0;
1820;17415;Statskundskab, Odense M, Studiestart: sommerstart;106;0;447;121;9,5;
1830;17420;Økonomi, Odense M, Studiestart: sommerstart;88;0;235;99;6,4;
1840;17430;Market and Management Anthropology, Odense M, Study start: Summer start;97;0;306;123;7,1;
1850;17510;Erhvervsøkonomi, HA, Odense M, Studiestart: sommerstart;225;0;761;250;6,5;
1860;17517;Economics and Business Administration, Odense M, Study start: Summer start;90;0;412;102;5,5;
1870;17520;Erhvervsøkonomi-jura, HA (jur.), Odense M, Studiestart: sommerstart;33;0;297;46;9,4;
1880;17530;Erhvervsøkonomi-erhvervssprog (negot) (SDU - Odense), Odense M, Studiestart: sommerstart;128;0;266;125;5,0;
1890;17610;Journalistik, Odense M, Studiestart: sommerstart;102;0;431;172;100 % kvote 2;
1900;17815;Diplomingeniør, bygningsteknik, Odense M, Studiestart: sommerstart;79;0;186;73;Alle optaget, ledige pladser;
1910;17820;Diplomingeniør, elektronik, Odense M, Studiestart: sommerstart;35;0;111;34;Alle optaget, ledige pladser;
1920;17822;Bachelor of Engineering in Global Management and Manufacturing, Odense M, Study start: Summer start;67;0;173;76;Alle optaget;
1930;17825;Diplomingeniør, kemi- og bioteknologi, Odense M, Studiestart: sommerstart;38;0;103;37;Alle optaget, ledige pladser;
1940;17830;Diplomingeniør, softwareteknologi, Odense M, Studiestart: sommerstart;78;0;217;70;Alle optaget;
1950;17835;Diplomingeniør, integreret design, Odense M, Studiestart: sommerstart;73;0;142;66;Alle optaget;
1960;17840;Diplomingeniør, maskinteknik, Odense M, Studiestart: sommerstart;75;0;161;75;Alle optaget;
1970;17845;Diplomingeniør, produktion (produktionsteknik), Odense M, Studiestart: sommerstart;36;0;104;36;Alle optaget, ledige pladser;
1980;17850;Diplomingeniør, elektrisk energiteknologi, Odense M, Studiestart: sommerstart;24;0;76;23;Alle optaget, ledige pladser;
1990;17855;Diplomingeniør, robotteknologi, Odense M, Studiestart: sommerstart;77;0;208;78;Alle optaget;
2000;17860;Teknisk videnskab (civilingeniør) Velfærdsteknologi, Odense M, Studiestart: sommerstart;39;0;89;33;Alle optaget, ledige pladser;
2010;17865;Teknisk videnskab (civilingeniør) Lærings- og oplevelsesteknologi, Odense M, Studiestart: sommerstart;21;0;64;21;Alle optaget, ledige pladser;
2020;17870;Teknisk videnskab (civilingeniør) Robotteknologi, Odense M, Studiestart: sommerstart;79;0;177;79;Alle optaget;
2030;17875;Teknisk videnskab (civilingeniør) Fysik og teknologi, Odense M, Studiestart: sommerstart;27;0;64;26;Alle optaget, ledige pladser;
2040;17880;Teknisk videnskab (civilingeniør) Kemi og bioteknologi, Odense M, Studiestart: sommerstart;32;0;94;23;Alle optaget, ledige pladser;
2050;17890;Bachelor of Science (BSc) in Engineering (Product Development and Innovation), Odense M, Study start: Summer start;51;0;169;59;Alle optaget;
2060;17892;Teknisk videnskab (civilingeniør) Software Engineering, Odense M, Studiestart: sommerstart;125;0;265;133;4,0;
2070;17895;Teknisk videnskab (civilingeniør) Energiteknologi, Odense M, Studiestart: sommerstart;27;0;65;24;Alle optaget, ledige pladser;
2080;18005;Bibliotekskundskab og videnskommunikation, Kolding, Studiestart: sommerstart;32;0;70;41;Alle optaget, ledige pladser;
2090;18020;Informationsvidenskab, it og interaktionsdesign, Kolding, Studiestart: sommerstart;28;0;73;26;Alle optaget;
2100;18030;Designkultur og økonomi, Kolding, Studiestart: sommerstart;78;0;181;79;5,8;
2110;18035;Designkultur, Kolding, Studiestart: sommerstart;45;0;165;55;5,9;
2120;18140;International virksomhedskommunikation i engelsk, Kolding, Studiestart: sommerstart;33;0;94;25;Alle optaget, ledige pladser;
2130;18210;Erhvervsøkonomi, HA, Kolding, Studiestart: sommerstart;152;0;381;134;4,5;
2140;19010;Bachelor of Science (BSc) in Engineering (Innovation and Business), Sønderborg, Study start: Summer start;20;0;94;31;Alle optaget, ledige pladser;
2150;19020;Bachelor of Science (BSc) in Engineering (Mechatronics), Sønderborg, Study start: Summer start;17;0;83;28;Alle optaget, ledige pladser;
2160;19030;Bachelor of Science (BSc) in Engineering (Electronics), Sønderborg, Study start: Summer start;5;0;58;9;Alle optaget, ledige pladser;
2170;19112;Bachelor of Engineering in Electronics, Sønderborg, Study start: Summer start;14;0;81;29;Alle optaget, ledige pladser;
2180;19120;Bachelor of Engineering in Mechatronics, Sønderborg, Study start: Summer start;42;0;127;67;Alle optaget, ledige pladser;
2190;19215;Economics and Business Administration, Sønderborg, Study start: Summer start;62;0;191;71;Alle optaget, ledige pladser;
2200;19220;Erhvervsøkonomi-erhvervssprog (SPRØK) (SDU - Sønderborg), Sønderborg, Studiestart: sommerstart;10;0;33;12;Alle optaget, ledige pladser;
2210;19225;European Studies, Sønderborg, Study start: Summer start;45;0;153;45;Alle optaget, ledige pladser;
2220;20210;Erhvervsøkonomi, HA, Esbjerg, Studiestart: sommerstart;60;0;164;59;Alle optaget, ledige pladser;
2230;20220;Sociologi og kulturanalyse, Esbjerg, Studiestart: sommerstart;79;0;183;69;Alle optaget;
2240;20500;International virksomhedskommunikation i engelsk, Slagelse, Studiestart: sommerstart;129;0;288;103;4,4;
2250;20525;Professionsbachelor, erhvervssprog og IT-baseret markedskommunikation, Slagelse, Studiestart: sommerstart;43;0;92;32;Alle optaget, ledige pladser;
2260;20530;Erhvervsøkonomi, HA, Slagelse, Studiestart: sommerstart;185;0;655;179;5,4;
2270;;Syddansk Universitet i alt;5.359;99;19.649;6.283;;
2280;;Aarhus Universitet;;;;;;
2290;22010;Medicin, Aarhus C, Studiestart: sommer- og vinterstart;496;32;2.827;1.082;11,2;11,1
2300;22015;Odontologi, Aarhus C, Studiestart: sommerstart;84;6;688;227;10,8;10,7
2310;22020;Professionsbachelor, tandplejer, Aarhus C, Studiestart: sommerstart;79;13;360;157;8,4;7,8
2320;22022;Klinisk tandtekniker, Aarhus C, Studiestart: sommerstart;19;0;30;23;100 % kvote 2;
2330;22025;Folkesundhedsvidenskab, Aarhus C, Studiestart: sommerstart;55;10;215;72;9,2;8,3
2340;22105;Molekylær medicin, Aarhus C, Studiestart: sommerstart;66;6;368;89;10,3;10,0
2350;22110;Biologi, Aarhus C, Studiestart: sommerstart;124;10;370;152;7,2;6,4
2360;22115;Datalogi, Aarhus C, Studiestart: sommerstart;182;10;399;217;7,0;Alle optaget
2370;22120;Fysik, Aarhus C, Studiestart: sommerstart;77;0;150;82;Alle optaget, ledige pladser;
2380;22125;Geoscience, Aarhus C, Studiestart: sommerstart;42;0;70;40;Alle optaget, ledige pladser;
2390;22130;Idræt, Aarhus C, Studiestart: sommerstart;80;10;382;173;7,8;7,1
2400;22131;Teknisk videnskab (civilingeniør) Bioteknologi, Aarhus C, Studiestart: sommerstart;51;0;135;33;Alle optaget, ledige pladser;
2410;22132;Teknisk videnskab (civilingeniør) Kemiteknologi, Aarhus C, Studiestart: sommerstart;18;0;68;9;Alle optaget, ledige pladser;
2420;22135;Kemi, Aarhus C, Studiestart: sommerstart;41;0;124;42;Alle optaget, ledige pladser;
2430;22140;Matematik, Aarhus C, Studiestart: sommerstart;91;0;244;89;Alle optaget, ledige pladser;
2440;22145;Matematik-økonomi, Aarhus C, Studiestart: sommerstart;91;0;227;82;Alle optaget, ledige pladser;
2450;22150;Medicinalkemi, Aarhus C, Studiestart: sommerstart;48;2;203;48;6,6;Alle optaget
2460;22155;Molekylærbiologi, Aarhus C, Studiestart: sommerstart;77;8;289;71;8,3;7,1
2470;22160;Nanoscience, Aarhus C, Studiestart: sommerstart;52;0;118;47;Alle optaget, ledige pladser;
2480;22170;It-produktudvikling, Aarhus C, Studiestart: sommerstart;46;0;116;47;Alle optaget, ledige pladser;
2490;22175;Agrobiologi, Aarhus C, Studiestart: sommerstart;45;0;116;41;Alle optaget, ledige pladser;
