;OptOmrNr;Optagelsesområder;Antal Optagne;;Antal ansøgere;;Adgangskvotient;
;;;optagne;standby;total;1. prioritet;kvote 1 kvotient;standby
;;Københavns Universitet;;;;;;
10;10110;Medicin, København K, Studiestart: sommer- og vinterstart;559;50;2.581;1.629;11,4;11,2
20;10115;Folkesundhedsvidenskab, København K, Studiestart: sommerstart;70;15;260;122;9,8;8,9
30;10117;Farmaci, København K, Studiestart: sommerstart;240;36;668;252;8,2;7,3
40;10120;Odontologi, København K, Studiestart: sommerstart;100;15;721;304;10,7;10,6
50;10140;Veterinærmedicin, København K, Studiestart: sommerstart;185;25;688;476;10,8;10,4
60;10150;Sundhed og informatik, København K, Studiestart: sommerstart;12;0;74;5;Alle optaget, ledige pladser;
70;10160;Professionsbachelor, tandplejer, København K, Studiestart: sommerstart;77;15;439;166;8,8;8,3
80;10205;Biokemi, København K, Studiestart: sommerstart;117;8;471;98;7,7;Alle optaget, ledige pladser
90;10220;Datalogi, København K, Studiestart: sommerstart;242;36;698;281;7,8;6,3
100;10221;Forsikringsmatematik, København K, Studiestart: sommerstart;61;9;278;128;11,3;11,1
110;10230;Fysiske fag (fysik, astrofysik, geofysik, meteorologi, kvantefysik, bio- og medicinsk fysik), København K, Studiestart: sommerstart;142;0;287;147;Alle optaget, ledige pladser;
120;10234;Biologi - Bioteknologi, København K, Studiestart: sommerstart;66;4;260;57;7,9;Alle optaget, ledige pladser
130;10237;Husdyrvidenskab, København K, Studiestart: sommerstart;63;0;140;31;Alle optaget, ledige pladser;
140;10238;Jordbrugsøkonomi, København K, Studiestart: sommerstart;42;0;87;31;Alle optaget, ledige pladser;
150;10240;Landskabsarkitektur, København K, Studiestart: sommerstart;66;5;162;67;7,1;Alle optaget, ledige pladser
160;10242;Fødevarer og ernæring, København K, Studiestart: sommerstart;78;0;185;79;Alle optaget, ledige pladser;
170;10244;Naturressourcer, København K, Studiestart: sommerstart;73;0;184;77;Alle optaget, ledige pladser;
180;10246;Professionsbachelor, skov- og landskabsingeniør, København K, Studiestart: sommerstart;60;0;104;63;Alle optaget, ledige pladser;
190;10250;Biologi, København K, Studiestart: sommerstart;200;3;508;176;6,3;Alle optaget, ledige pladser
200;10270;Geografi og geoinformatik, København K, Studiestart: sommerstart;92;0;177;92;Alle optaget, ledige pladser;
210;10275;Geologi-geoscience, København K, Studiestart: sommerstart;57;0;118;54;Alle optaget, ledige pladser;
220;10285;Idræt, København K, Studiestart: sommerstart;132;28;364;170;8,1;Alle optaget
230;10286;Kemi, København K, Studiestart: sommerstart;59;0;191;56;Alle optaget, ledige pladser;
240;10287;Matematik, København K, Studiestart: sommerstart;154;15;413;164;8,7;Alle optaget, ledige pladser
250;10288;Matematik-økonomi, København K, Studiestart: sommerstart;72;12;398;109;9,8;8,7
260;10289;Molekylær biomedicin, København K, Studiestart: sommerstart;66;10;344;114;11,4;11,0
270;10290;Nanoscience, København K, Studiestart: sommerstart;46;0;149;49;Alle optaget, ledige pladser;
280;10304;Audiologopædi, København K, Studiestart: sommerstart;38;7;129;65;9,1;8,0
290;10306;Dansk, København K, Studiestart: sommerstart;190;13;445;157;6,9;Alle optaget
300;10308;Engelsk, København K, Studiestart: sommerstart;159;0;436;146;6,3;Alle optaget, ledige pladser
310;10310;Eskimologi, København K, Studiestart: sommerstart;2;0;34;6;Alle optaget, ledige pladser;
320;10312;Europæisk etnologi, København K, Studiestart: sommerstart;63;0;198;40;Alle optaget, ledige pladser;
330;10314;Film- og medievidenskab, København K, Studiestart: sommerstart;80;12;492;220;10,3;9,7
340;10316;Filosofi, København K, Studiestart: sommerstart;62;8;281;61;8,6;Alle optaget, ledige pladser
350;10322;Forhistorisk arkæologi, København K, Studiestart: sommerstart;33;0;127;34;Alle optaget, ledige pladser;
360;10324;Fransk sprog og kultur, København K, Studiestart: sommerstart;32;0;100;33;Alle optaget, ledige pladser;
370;10326;Græsk, klassisk, København K, Studiestart: sommerstart;11;0;27;9;Alle optaget, ledige pladser;
380;10332;Historie, København K, Studiestart: sommerstart;159;8;493;171;7,5;Alle optaget, ledige pladser
390;10334;Indianske sprog og kulturer, København K, Studiestart: sommerstart;2;0;26;3;Alle optaget, ledige pladser;
400;10338;Italiensk sprog og kultur, København K, Studiestart: sommerstart;18;0;44;17;Alle optaget, ledige pladser;
410;10340;Asienstudier (japanstudier), København K, Studiestart: sommerstart;27;4;123;57;8,7;7,8
420;10341;Moderne Indien og Sydasienstudier, København K, Studiestart: sommerstart;9;0;26;9;Alle optaget, ledige pladser;
430;10342;Asienstudier (kinastudier), København K, Studiestart: sommerstart;29;0;97;27;Alle optaget, ledige pladser;
440;10344;Klassisk arkæologi, København K, Studiestart: sommerstart;19;2;84;29;7,9;Alle optaget, ledige pladser
450;10345;Kommunikation og it, København K, Studiestart: sommerstart;66;10;371;108;9,2;8,6
460;10346;Asienstudier (koreastudier), København K, Studiestart: sommerstart;23;3;80;35;7,0;Alle optaget, ledige pladser
470;10348;Kunsthistorie, København K, Studiestart: sommerstart;56;9;237;102;9,4;8,6
480;10350;Latin, København K, Studiestart: sommerstart;8;0;32;7;Alle optaget, ledige pladser;
490;10352;Litteraturvidenskab, København K, Studiestart: sommerstart;57;10;260;127;10,9;10,2
500;10353;Mellemøstens sprog og samfund (arabisk, hebraisk, persisk, tyrkisk), København K, Studiestart: sommerstart;69;4;222;85;7,1;Alle optaget, ledige pladser
510;10354;Musikvidenskab, København K, Studiestart: sommerstart;56;0;124;81;Alle optaget, ledige pladser;
520;10360;Mellemøstens sprog og samfund (assyriologi, nærorientalsk arkæologi, ægyptologi), København K, Studiestart: sommerstart;11;0;57;16;Alle optaget, ledige pladser;
530;10366;Portugisiske og brasilianske studier, København K, Studiestart: sommerstart;5;0;37;8;Alle optaget, ledige pladser;
540;10368;Psykologi, København K, Studiestart: sommerstart;230;34;1.634;979;11,7;11,4
550;10370;Pædagogik, København K, Studiestart: sommerstart;66;15;283;86;9,0;8,5
560;10372;Religionsvidenskab, København K, Studiestart: sommerstart;67;1;211;51;6,3;Alle optaget, ledige pladser
570;10374;Retorik, København K, Studiestart: sommerstart;40;6;195;78;10,2;9,8
580;10378;Spansk sprog og kultur, København K, Studiestart: sommerstart;54;3;146;71;7,0;Alle optaget, ledige pladser
590;10380;Lingvistik, København K, Studiestart: sommerstart;34;8;130;40;9,3;Alle optaget
600;10382;Teater- og performancestudier, København K, Studiestart: sommerstart;29;9;130;62;9,5;8,4
610;10390;Tysk sprog og kultur, København K, Studiestart: sommerstart;27;0;82;26;Alle optaget, ledige pladser;
620;10393;Østeuropastudier, København K, Studiestart: sommerstart;39;0;95;31;Alle optaget, ledige pladser;
630;10395;Informationsvidenskab og kulturformidling, København K, Studiestart: sommerstart;100;0;280;75;6,1;Alle optaget
640;10410;Jura, København K, Studiestart: sommerstart;777;95;2.296;1.238;9,7;9,3
650;10415;Samfundsfag, København K, Studiestart: sommerstart;44;7;252;53;9,9;9,4
660;10420;Statskundskab, København K, Studiestart: sommerstart;264;39;824;432;11,2;10,6
670;10430;Økonomi, København K, Studiestart: sommerstart;330;49;841;376;8,5;6,9
680;10435;Sociologi, København K, Studiestart: sommerstart;117;20;591;213;10,3;9,9
690;10440;Antropologi, København K, Studiestart: sommerstart;106;20;739;276;11,0;10,7
700;10500;Teologi, København K, Studiestart: sommerstart;130;0;236;133;Alle optaget, ledige pladser;
710;;Københavns Universitet i alt;6.869;682;24.496;10.870;;
720;;Copenhagen Business School - Handelshøjskolen;;;;;;
730;13010;Erhvervsøkonomi, HA, Frederiksberg, Studiestart: sommerstart;740;0;2.191;880;8,5;
740;13015;Erhvervsøkonomi-informationsteknologi, HA (it.), Frederiksberg, Studiestart: sommerstart;120;0;610;158;8,6;
750;13020;Erhvervsøkonomi-erhvervsret, HA (jur.), Frederiksberg, Studiestart: sommerstart;225;0;1.087;259;8,7;
760;13025;Erhvervsøkonomi-matematik, HA (mat.), Frederiksberg, Studiestart: sommerstart;95;0;440;119;8,4;
770;13030;Erhvervsøkonomi-filosofi, HA (fil.), Frederiksberg, Studiestart: sommerstart;80;0;304;65;9,0;
780;13035;Erhvervsøkonomi-virksomhedskommunikation, HA (kom.), Frederiksberg, Studiestart: sommerstart;160;0;859;246;9,5;
790;13040;Erhvervsøkonomi-psykologi, HA (psyk.), Frederiksberg, Studiestart: sommerstart;160;0;872;310;9,9;
800;13045;Erhvervsøkonomi, HA (Projektledelse), Frederiksberg, Studiestart: sommerstart;95;0;711;278;11,3;
810;13055;Business, Language and Culture (SPRØK), Frederiksberg, Study start: Summer start;160;0;614;231;9,4;
820;13060;International Business, Frederiksberg, Study start: Summer start;180;0;1.208;689;12,2;
830;13070;International Business and Politics, Frederiksberg, Study start: Summer start;140;0;845;307;11,7;
840;13075;Business Administration and Sociology, Frederiksberg, Study start: Summer start;90;0;635;143;10,1;
850;13080;Business Administration and Service Management, Frederiksberg, Study start: Summer start;195;0;884;245;9,2;
860;13090;Asian Studies Programme, Chinese/English, Frederiksberg, Study start: Summer start;70;0;242;117;9,5;
870;13100;Business Administration and Digital Management, Frederiksberg, Study start: Summer start;90;0;1.157;392;10,7;
880;13265;Interkulturel markedskommunikation, Frederiksberg, Studiestart: sommerstart;140;0;656;309;10,1;
890;13280;International Shipping and Trade, Frederiksberg, Study start: Summer start;55;0;373;96;10,3;
900;13290;Europæisk business, HA i europæisk business, Frederiksberg, Studiestart: sommerstart;140;0;589;176;10,0;
910;;Copenhagen Business School - Handelshøjskolen i alt;2.935;0;14.277;5.020;;
