;OptOmrNr;Optagelsesområder;Antal Optagne;;Antal ansøgere;;Adgangskvotient;
290;10289;Molekylær biomedicin, København K, Studiestart: sommerstart; 70 ; 6 ; 559 ; 169 ;11,0;10,7
300;10290;Nanoscience, København K, Studiestart: sommerstart; 34 ; -   ; 156 ; 31 ;Alle optaget, ledige pladser;
310;10292;Machine learning og datavidenskab, København K, Studiestart: sommerstart; 98 ; -   ; 375 ; 87 ;Alle optaget;Ledige pladser
320;10293;Medicinalkemi, København K, Studiestart: sommerstart; 44 ; -   ; 242 ; 30 ;Alle optaget, ledige pladser;
330;10304;Audiologopædi, København K, Studiestart: sommerstart; 43 ; 4 ; 241 ; 94 ;9,3;9,0
340;10306;Dansk, København K, Studiestart: sommerstart; 190 ; 22 ; 601 ; 172 ;6,9;Alle optaget
350;10308;Engelsk, København K, Studiestart: sommerstart; 167 ; 20 ; 592 ; 190 ;6,4;Alle optaget
360;10310;Grønlandske og arktiske studier, København K, Studiestart: sommerstart; 10 ; -   ; 46 ; 14 ;Alle optaget;Ledige pladser
370;10312;Europæisk etnologi, København K, Studiestart: sommerstart; 63 ; 9 ; 280 ; 51 ;7,6;6,5
380;10314;Film- og medievidenskab, København K, Studiestart: sommerstart; 80 ; 10 ; 751 ; 281 ;9,7;9,5
390;10316;Filosofi, København K, Studiestart: sommerstart; 67 ; 9 ; 521 ; 142 ;9,2;8,6
400;10322;Forhistorisk arkæologi, København K, Studiestart: sommerstart; 35 ; 7 ; 185 ; 46 ;6,3;Alle optaget
410;10324;Fransk sprog og kultur, København K, Studiestart: sommerstart; 37 ; 2 ; 134 ; 43 ;6,1;Alle optaget, ledige pladser
420;10326;Græsk, klassisk, København K, Studiestart: sommerstart; 10 ; -   ; 39 ; 11 ;6,1;Alle optaget, ledige pladser
430;10332;Historie, København K, Studiestart: sommerstart; 169 ; 20 ; 755 ; 223 ;7,6;6,7
440;10334;Indianske sprog og kulturer, København K, Studiestart: sommerstart; 4 ; -   ; 20 ; 2 ;Alle optaget, ledige pladser;
450;10338;Italiensk sprog og kultur, København K, Studiestart: sommer- og vinterstart; 23 ; 2 ; 62 ; 29 ;6,9;Alle optaget, ledige pladser
460;10340;Asienstudier (japanstudier), København K, Studiestart: sommerstart; 34 ; 7 ; 143 ; 53 ;7,1;6,1
470;10341;Moderne Indien og Sydasienstudier, København K, Studiestart: sommerstart; 9 ; -   ; 28 ; 7 ;Alle optaget, ledige pladser;
480;10342;Asienstudier (kinastudier), København K, Studiestart: sommerstart; 34 ; 5 ; 133 ; 42 ;6,9;Alle optaget
490;10344;Klassisk arkæologi, København K, Studiestart: sommerstart; 24 ; 6 ; 116 ; 31 ;7,3;Alle optaget
500;10345;Kommunikation og it, København K, Studiestart: sommerstart; 109 ; 18 ; 531 ; 128 ;7,9;7,4
510;10346;Asienstudier (koreastudier), København K, Studiestart: sommerstart; 28 ; 6 ; 126 ; 61 ;7,7;6,6
520;10348;Kunsthistorie, København K, Studiestart: sommerstart; 60 ; 8 ; 400 ; 128 ;9,5;8,8
530;10350;Latin, København K, Studiestart: sommerstart; 14 ; -   ; 42 ; 12 ;Alle optaget;Ledige pladser
540;10352;Litteraturvidenskab, København K, Studiestart: sommerstart; 69 ; 9 ; 375 ; 128 ;10,0;9,4
550;10353;Mellemøstens sprog og samfund (arabisk, hebraisk, persisk, tyrkisk), København K, Studiestart: sommerstart; 74 ; 3 ; 260 ; 86 ;6,2;Alle optaget, ledige pladser
560;10354;Musikvidenskab, København K, Studiestart: sommerstart; 78 ; 4 ; 165 ; 100 ;6,1;Alle optaget, ledige pladser
570;10360;Mellemøstens sprog og samfund (assyriologi, nærorientalsk arkæologi, ægyptologi), København K, Studiestart: sommerstart; 17 ; -   ; 72 ; 18 ;Alle optaget;Ledige pladser
580;10368;Psykologi, København K, Studiestart: sommerstart; 250 ; 22 ; 2.748 ; 1.458 ;10,9;10,7
590;10370;Pædagogik, København K, Studiestart: sommerstart; 71 ; 10 ; 296 ; 93 ;8,9;8,2
600;10372;Religionsvidenskab, København K, Studiestart: sommerstart; 73 ; 10 ; 327 ; 81 ;7,4;Alle optaget
610;10374;Retorik, København K, Studiestart: sommerstart; 58 ; 8 ; 402 ; 112 ;9,2;8,5
620;10378;Spansk sprog og kultur, København K, Studiestart: sommerstart; 58 ; 10 ; 197 ; 76 ;6,1;Alle optaget
630;10380;Lingvistik, København K, Studiestart: sommerstart; 35 ; 6 ; 197 ; 65 ;9,5;8,0
640;10382;Teater- og performancestudier, København K, Studiestart: sommerstart; 39 ; 6 ; 183 ; 73 ;8,9;8,3
650;10390;Tysk sprog og kultur, København K, Studiestart: sommerstart; 34 ; -   ; 120 ; 38 ;6,5;Alle optaget, ledige pladser
660;10393;Østeuropastudier, København K, Studiestart: sommerstart; 43 ; 1 ; 127 ; 45 ;6,2;Alle optaget, ledige pladser
670;10395;Informationsstudier, København K, Studiestart: sommerstart; 99 ; -   ; 309 ; 62 ;Alle optaget;
680;10410;Jura, København K, Studiestart: sommerstart; 835 ; 80 ; 2.984 ; 1.552 ;9,0;8,6
690;10415;Samfundsfag, København K, Studiestart: sommerstart; 52 ; 7 ; 478 ; 62 ;9,7;9,2
700;10420;Statskundskab, København K, Studiestart: sommerstart; 286 ; 25 ; 1.318 ; 616 ;10,6;10,3
710;10430;Økonomi, København K, Studiestart: sommerstart; 382 ; 32 ; 1.101 ; 410 ;7,7;7,0
720;10435;Sociologi, København K, Studiestart: sommerstart; 115 ; 11 ; 880 ; 195 ;9,9;9,7
730;10440;Antropologi, København K, Studiestart: sommerstart; 111 ; 11 ; 930 ; 291 ;10,4;9,9
740;10500;Teologi, København K, Studiestart: sommerstart; 143 ; -   ; 293 ; 167 ;2,1;Alle optaget, ledige pladser
750;;Københavns Universitet i alt; 7.832 ; 625 ; 35.301 ; 13.856 ;;
760;;Copenhagen Business School - Handelshøjskolen;;;;;;
770;13010;Erhvervsøkonomi, HA, Frederiksberg, Studiestart: sommerstart; 760 ; -   ; 2.809 ; 1.008 ;8,3;
780;13015;Erhvervsøkonomi-informationsteknologi, HA (it.), Frederiksberg, Studiestart: sommerstart; 150 ; -   ; 605 ; 178 ;8,3;
790;13020;Erhvervsøkonomi-erhvervsret, HA (jur.), Frederiksberg, Studiestart: sommerstart; 230 ; -   ; 1.283 ; 252 ;8,2;
800;13023;Erhvervsøkonomi og markeds- og kulturanalyse, HA i markeds- og kulturanalyse, Frederiksberg, Studiestart: sommerstart; 90 ; -   ; 615 ; 233 ;9,9;
810;13025;Erhvervsøkonomi-matematik, HA (mat.), Frederiksberg, Studiestart: sommerstart; 105 ; -   ; 427 ; 92 ;8,0;
820;13030;Erhvervsøkonomi-filosofi, HA (fil.), Frederiksberg, Studiestart: sommerstart; 80 ; -   ; 388 ; 70 ;8,8;
830;13035;Erhvervsøkonomi-virksomhedskommunikation, HA (kom.), Frederiksberg, Studiestart: sommerstart; 185 ; -   ; 1.062 ; 304 ;9,2;
840;13040;Erhvervsøkonomi-psykologi, HA (psyk.), Frederiksberg, Studiestart: sommerstart; 185 ; -   ; 1.040 ; 375 ;9,5;
850;13045;Erhvervsøkonomi, HA (Projektledelse), Frederiksberg, Studiestart: sommerstart; 145 ; -   ; 891 ; 355 ;10,1;
860;13055;Business, Language and Culture, Frederiksberg, Study start: Summer start; 135 ; -   ; 560 ; 216 ;8,5;
870;13060;International Business, Frederiksberg, Study start: Summer start; 220 ; -   ; 1.212 ; 680 ;11,3;
880;13070;International Business and Politics, Frederiksberg, Study start: Summer start; 145 ; -   ; 875 ; 324 ;11,0;
890;13075;Business Administration and Sociology, Frederiksberg, Study start: Summer start; 95 ; -   ; 739 ; 200 ;9,9;
900;13080;Business Administration and Service Management, Frederiksberg, Study start: Summer start; 180 ; -   ; 885 ; 234 ;9,0;
910;13085;Business, Asian Language and Culture - Asian Studies Programme, Japanese/English, Frederiksberg, Study start: Summer start; 27 ; -   ; 99 ; 46 ;8,8;
920;13090;Business, Asian Language and Culture - Asian Studies Programme, Chinese/English, Frederiksberg, Study start: Summer start; 55 ; -   ; 171 ; 75 ;8,3;
930;13100;Business Administration and Digital Management, Frederiksberg, Study start: Summer start; 175 ; -   ; 869 ; 330 ;9,7;
940;13280;International Shipping and Trade, Frederiksberg, Study start: Summer start; 63 ; -   ; 397 ; 120 ;9,4;
950;13290;Europæisk business, HA i europæisk business, Frederiksberg, Studiestart: sommerstart; 190 ; -   ; 697 ; 212 ;8,9;
960;;Copenhagen Business School - Handelshøjskolen i alt; 3.215 ; -   ; 15.624 ; 5.304 ;;
970;;IT-Universitetet i København;;;;;;
980;14505;Digital design og interaktive teknologier, København S, Studiestart: sommerstart; 64 ; -   ; 344 ; 119 ;8,5;
990;14510;Softwareudvikling, København S, Studiestart: sommerstart; 222 ; -   ; 637 ; 321 ;7,8;
1000;14515;Global Business Informatics, København S, Study start: Summer start; 108 ; -   ; 369 ; 118 ;7,5;
1010;14525;Data Science, København S, Study start: Summer start; 110 ; -   ; 540 ; 198 ;Alle optaget;
1020;;IT-Universitetet i København i alt; 504 ; -   ; 1.890 ; 756 ;;
1030;;Danmarks Tekniske Universitet;;;;;;
1040;15010;Teknisk videnskab (civilingeniør) Bioteknologi, Kgs. Lyngby, Studiestart: sommerstart; 72 ; 6 ; 287 ; 81 ;8,2;Alle optaget
1050;15015;Teknisk videnskab (civilingeniør) Byggeteknologi, Kgs. Lyngby, Studiestart: sommerstart; 90 ; 5 ; 260 ; 85 ;5,8;Alle optaget
1060;15016;Teknisk videnskab (civilingeniør) Bæredygtigt energidesign, Kgs. Lyngby, Studiestart: sommerstart; 79 ; -   ; 213 ; 69 ;Alle optaget;
1070;15017;Teknisk videnskab (civilingeniør) Bygningsdesign, Kgs. Lyngby, Studiestart: sommerstart; 60 ; 9 ; 245 ; 81 ;8,3;7,2
1080;15020;Teknisk videnskab (civilingeniør) Design og innovation, Kgs. Lyngby, Studiestart: sommerstart; 90 ; 13 ; 273 ; 112 ;8,3;6,2
1090;15025;Teknisk videnskab (civilingeniør) Elektroteknologi, Kgs. Lyngby, Studiestart: sommerstart; 80 ; 8 ; 287 ; 100 ;7,0;Alle optaget
1100;15030;Teknisk videnskab (civilingeniør) Fysik og nanoteknologi, Kgs. Lyngby, Studiestart: sommerstart; 78 ; -   ; 213 ; 75 ;Alle optaget;
1110;15033;Teknisk videnskab (civilingeniør) Geofysik og Rumteknologi, Kgs. Lyngby, Studiestart: sommerstart; 66 ; -   ; 167 ; 70 ;Alle optaget;
1120;15035;Teknisk videnskab (civilingeniør) Kemi og teknologi, Kgs. Lyngby, Studiestart: sommerstart; 90 ; 7 ; 252 ; 104 ;8,4;Alle optaget
1130;15037;Teknisk videnskab (civilingeniør) Kunstig intelligens og data, Kgs. Lyngby, Studiestart: sommerstart; 120 ; 12 ; 327 ; 146 ;8,8;Alle optaget
1140;15040;Teknisk videnskab (civilingeniør) Cyberteknologi, Kgs. Lyngby, Studiestart: sommerstart; 48 ; -   ; 237 ; 41 ;Alle optaget;
1150;15045;Teknisk videnskab (civilingeniør) Matematik og teknologi, Kgs. Lyngby, Studiestart: sommerstart; 80 ; 8 ; 326 ; 91 ;8,1;Alle optaget
1160;15050;Teknisk videnskab (civilingeniør) Medicin og teknologi, Kgs. Lyngby, Studiestart: sommerstart; 63 ; 9 ; 347 ; 86 ;8,9;8,2
1170;15055;Teknisk videnskab (civilingeniør) Vand, bioressourcer og miljømanagement, Kgs. Lyngby, Studiestart: sommerstart; 66 ; -   ; 154 ; 62 ;4,7;Alle optaget
1180;15060;Teknisk videnskab (civilingeniør) Produktion og konstruktion, Kgs. Lyngby, Studiestart: sommerstart; 80 ; 12 ; 234 ; 105 ;7,8;5,9
1190;15065;Teknisk videnskab (civilingeniør) Softwareteknologi, Kgs. Lyngby, Studiestart: sommerstart; 120 ; 10 ; 429 ; 147 ;7,6;Alle optaget
1200;15075;Teknisk videnskab (civilingeniør) Teknisk biomedicin, Kgs. Lyngby, Studiestart: sommerstart; 90 ; 12 ; 300 ; 96 ;8,6;Alle optaget
1210;15080;Teknisk videnskab (civilingeniør) Strategisk analyse og systemdesign , Kgs. Lyngby, Studiestart: sommerstart; 59 ; -   ; 112 ; 59 ;Alle optaget, ledige pladser;
1220;15085;Teknisk videnskab (civilingeniør) Kvantitativ biologi og sygdomsmodellering, Kgs. Lyngby, Studiestart: sommerstart; 30 ; 4 ; 110 ; 30 ;8,7;Alle optaget
1230;15110;Diplomingeniør, arktisk byggeri og infrastruktur, Ballerup, Studiestart: sommerstart; 16 ; -   ; 57 ; 14 ;Alle optaget, ledige pladser;
1240;15115;Diplomingeniør, bygningsdesign, Kgs. Lyngby, Studiestart: sommerstart; 90 ; 9 ; 306 ; 96 ;6,7;3,0
1250;15120;Diplomingeniør, byggeri og infrastruktur, Ballerup, Studiestart: sommerstart; 126 ; -   ; 330 ; 125 ;Alle optaget, ledige pladser;
1260;15122;Diplomingeniør, eksport og teknologi, Ballerup, Studiestart: sommerstart; 75 ; -   ; 189 ; 69 ;Alle optaget, ledige pladser;
1270;15125;Diplomingeniør, elektroteknologi, Ballerup, Studiestart: sommerstart; 80 ; 5 ; 230 ; 87 ;4,3;Alle optaget
1280;15126;Diplomingeniør, fiskeriteknologi, Kgs. Lyngby, Studiestart: sommerstart; 7 ; -   ; 19 ; 10 ;Alle optaget, ledige pladser;
1290;15127;Diplomingeniør, fødevaresikkerhed og -kvalitet, Kgs. Lyngby, Studiestart: sommerstart; 32 ; -   ; 103 ; 28 ;Alle optaget, ledige pladser;
1300;15130;Diplomingeniør, it-elektronik, Ballerup, Studiestart: sommerstart; 40 ; 1 ; 188 ; 41 ;4,7;Alle optaget
1310;15135;Diplomingeniør, kemi- og bioteknik, Kgs. Lyngby, Studiestart: sommerstart; 60 ; -   ; 197 ; 59 ;Alle optaget, ledige pladser;
1320;15140;Diplomingeniør, maskinteknik, Kgs. Lyngby, Studiestart: sommerstart; 91 ; -   ; 278 ; 102 ;Alle optaget, ledige pladser;
1330;15145;Diplomingeniør, proces og innovation, Ballerup, Studiestart: sommerstart; 60 ; 5 ; 186 ; 60 ;6,5;Alle optaget
1340;15147;Diplomingeniør, produktion (produktionsteknik), Ballerup, Studiestart: sommerstart; 42 ; -   ; 163 ; 41 ;Alle optaget, ledige pladser;
1350;15150;Diplomingeniør, kemiteknik og International Business , Kgs. Lyngby, Studiestart: sommerstart; 23 ; -   ; 82 ; 21 ;Alle optaget;
1360;15160;Diplomingeniør, it og økonomi, Kgs. Lyngby, Studiestart: sommerstart; 45 ; 5 ; 191 ; 47 ;6,9;4,5
1370;15165;Diplomingeniør, mobilitet, transport og logistik, Kgs. Lyngby, Studiestart: sommerstart; 40 ; 2 ; 168 ; 45 ;4,5;Alle optaget
1380;15170;Diplomingeniør, elektrisk energiteknologi, Ballerup, Studiestart: sommerstart; 31 ; -   ; 128 ; 30 ;Alle optaget, ledige pladser;
1390;15175;Diplomingeniør, softwareteknologi, Kgs. Lyngby, Studiestart: sommerstart; 120 ; 8 ; 405 ; 135 ;6,2;3,0
1400;15180;Diplomingeniør, sundhedsteknologi, Ballerup, Studiestart: sommerstart; 40 ; 4 ; 165 ; 39 ;7,1;Alle optaget
1410;15432;Bachelor of Science (BSc) in Engineering (General Engineering), Kgs. Lyngby, Study start: Summer start; 150 ; 8 ; 536 ; 273 ;7,7;Alle optaget
1420;;Danmarks Tekniske Universitet i alt; 2.629 ; 162 ; 8.694 ; 2.962 ;;
1430;;Roskilde Universitet;;;;;;
1440;16010;Naturvidenskabelig bacheloruddannelse, Roskilde, Studiestart: sommerstart; 102 ; -   ; 281 ; 86 ;Alle optaget, ledige pladser;
1450;16015;Naturvidenskabelig international bacheloruddannelse, Roskilde, Study start: Summer start; 45 ; -   ; 233 ; 91 ;Alle optaget, ledige pladser;
1460;16020;Humanistisk bacheloruddannelse, Roskilde, Studiestart: sommerstart; 516 ; -   ; 1.459 ; 468 ;6,8;
1470;16022;Humanistisk bacheloruddannelse + journalistik + andet fag, Roskilde, Studiestart: sommerstart; 74 ; -   ; 470 ; 164 ;9,0;
1480;16025;Humanistisk international bacheloruddannelse, Roskilde, Study start: Summer start; 96 ; -   ; 577 ; 228 ;6,9;
1490;16030;Samfundsvidenskabelig bacheloruddannelse, Roskilde, Studiestart: sommerstart; 541 ; -   ; 1.216 ; 381 ;4,5;
1500;16032;Samfundsvidenskabelig bacheloruddannelse + journalistik + andet fag, Roskilde, Studiestart: sommerstart; 57 ; -   ; 284 ; 66 ;8,7;
1510;16035;Samfundsvidenskabelig international bacheloruddannelse, Roskilde, Study start: Summer start; 134 ; -   ; 566 ; 147 ;3,4;
1520;16040;Humanistisk-teknologisk bacheloruddannelse, Roskilde, Studiestart: sommerstart; 223 ; -   ; 484 ; 176 ;Alle optaget, ledige pladser;
1530;16042;Humanistisk-teknologisk bacheloruddannelse + journalistik + andet fag, Roskilde, Studiestart: sommerstart; 18 ; -   ; 70 ; 10 ;6,8;
1540;;Roskilde Universitet i alt; 1.806 ; -   ; 5.640 ; 1.817 ;;
1550;;Syddansk Universitet;;;;;;
1560;17010;Biologi, Odense M, Studiestart: sommerstart; 73 ; -   ; 228 ; 79 ;6,8;
1570;17015;Biomedicin, Odense M, Studiestart: sommerstart; 112 ; -   ; 482 ; 66 ;8,2;
1580;17020;Datalogi, Odense M, Studiestart: sommerstart; 86 ; -   ; 274 ; 96 ;Alle optaget, ledige pladser;
1590;17025;Farmaci, Odense M, Studiestart: sommerstart; 121 ; -   ; 513 ; 106 ;Alle optaget;
1600;17040;Idræt og sundhed, Odense M, Studiestart: sommerstart; 166 ; 10 ; 413 ; 141 ;6,0;4,0
1610;17050;Matematik-økonomi, Odense M, Studiestart: sommerstart; 50 ; -   ; 145 ; 39 ;Alle optaget;
1620;17064;Matematik og anvendt matematik, Odense M, Studiestart: sommerstart; 58 ; -   ; 153 ; 54 ;Alle optaget, ledige pladser;
1630;17070;Fysik, Odense M, Studiestart: sommerstart; 33 ; -   ; 83 ; 36 ;Alle optaget, ledige pladser;
1640;17080;Biokemi og molekylær biologi, Odense M, Studiestart: sommerstart; 50 ; -   ; 273 ; 37 ;Alle optaget, ledige pladser;
1650;17085;Kemi, Odense M, Studiestart: sommerstart; 16 ; -   ; 67 ; 16 ;Alle optaget, ledige pladser;
1660;17110;Klinisk biomekanik, Odense M, Studiestart: sommer- og vinterstart; 111 ; 10 ; 393 ; 161 ;10,4;9,7
1670;17115;Medicin, Odense M, Studiestart: sommer- og vinterstart; 368 ; 30 ; 3.125 ; 847 ;10,3;10,1
1680;17120;Folkesundhedsvidenskab, Odense M, Studiestart: sommerstart; 52 ; -   ; 177 ; 33 ;Alle optaget;
1690;17200;Psykologi, Odense M, Studiestart: sommerstart; 151 ; 10 ; 1.872 ; 590 ;10,4;10,2
1700;17210;Dansk, Odense M, Studiestart: sommerstart; 79 ; -   ; 221 ; 65 ;Alle optaget, ledige pladser;
1710;17215;Engelsk, Odense M, Studiestart: sommerstart; 87 ; -   ; 255 ; 58 ;Alle optaget;
1720;17217;Amerikanske Studier, Odense M, Studiestart: sommerstart; 57 ; -   ; 210 ; 54 ;Alle optaget;
1730;17220;Filosofi, Odense M, Studiestart: sommerstart; 53 ; -   ; 194 ; 35 ;5,1;
1740;17230;Oldtidskundskab, Odense M, Studiestart: sommerstart; 28 ; -   ; 58 ; 20 ;Alle optaget;
1750;17235;Historie, Odense M, Studiestart: sommerstart; 101 ; -   ; 365 ; 117 ;5,5;
1760;17238;Interkulturel pædagogik og dansk som andetsprog, Odense M, Studiestart: sommerstart; 32 ; -   ; 139 ; 32 ;Alle optaget, ledige pladser;
1770;17240;Litteraturvidenskab, Odense M, Studiestart: sommerstart; 46 ; -   ; 186 ; 58 ;8,2;
1780;17245;Audiologi, Odense M, Studiestart: sommerstart; 44 ; 5 ; 157 ; 43 ;5,3;3,3
1790;17247;Audiologopædi, Odense M, Studiestart: sommerstart; 57 ; -   ; 219 ; 70 ;8,2;
1800;17250;Medievidenskab, Odense M, Studiestart: sommerstart; 92 ; -   ; 304 ; 109 ;8,2;
1810;17260;Religionsstudier, Odense M, Studiestart: sommerstart; 32 ; -   ; 117 ; 27 ;Alle optaget, ledige pladser;
1820;17270;Tysk, Odense M, Studiestart: sommerstart; 23 ; -   ; 55 ; 18 ;Alle optaget, ledige pladser;
1830;17310;International virksomhedskommunikation i 2 fremmedsprog, Odense M, Studiestart: sommerstart; 11 ; -   ; 58 ; 10 ;Alle optaget, ledige pladser;
1840;17312;International virksomhedskommunikation i engelsk, Odense M, Studiestart: sommerstart; 54 ; -   ; 269 ; 53 ;6,6;
1850;17316;International virksomhedskommunikation i tysk, Odense M, Studiestart: sommerstart; 14 ; -   ; 51 ; 11 ;Alle optaget, ledige pladser;
1860;17410;Jura, Odense M, Studiestart: sommerstart; 195 ; -   ; 1.210 ; 328 ;8,8;
1870;17412;Samfundsfag, Odense M, Studiestart: sommerstart; 36 ; -   ; 208 ; 21 ;8,5;
1880;17415;Statskundskab, Odense M, Studiestart: sommerstart; 122 ; -   ; 484 ; 100 ;8,8;
1890;17420;Økonomi, Odense M, Studiestart: sommerstart; 79 ; -   ; 244 ; 65 ;Alle optaget, ledige pladser;
1900;17430;Market and Management Anthropology, Odense M, Study start: Summer start; 107 ; -   ; 320 ; 125 ;8,4;
1910;17510;Erhvervsøkonomi, HA, Odense M, Studiestart: sommerstart; 297 ; -   ; 801 ; 255 ;5,4;
1920;17520;Erhvervsøkonomi-jura, HA (jur.), Odense M, Studiestart: sommerstart; 60 ; -   ; 368 ; 58 ;8,2;
1930;17530;Erhvervsøkonomi-erhvervssprog (negot) (SDU - Odense), Odense M, Studiestart: sommerstart; 128 ; -   ; 318 ; 118 ;6,1;
1940;17610;Journalistik, Odense M, Studiestart: sommerstart; 103 ; -   ; 480 ; 170 ;100 % kvote 2;
1950;17815;Diplomingeniør, bygningsteknik, Odense M, Studiestart: sommerstart; 83 ; -   ; 229 ; 89 ;Alle optaget, ledige pladser;
1960;17820;Diplomingeniør, elektronik, Odense M, Studiestart: sommerstart; 39 ; -   ; 104 ; 40 ;Alle optaget, ledige pladser;
1970;17822;Bachelor of Engineering in Global Management and Manufacturing, Odense M, Study start: Summer start; 62 ; -   ; 197 ; 70 ;Alle optaget, ledige pladser;
1980;17825;Diplomingeniør, kemi- og bioteknologi, Odense M, Studiestart: sommerstart; 51 ; -   ; 144 ; 49 ;Alle optaget, ledige pladser;
1990;17830;Diplomingeniør, softwareteknologi, Odense M, Studiestart: sommerstart; 63 ; -   ; 257 ; 66 ;Alle optaget, ledige pladser;
2000;17835;Diplomingeniør, integreret design, Odense M, Studiestart: sommerstart; 72 ; -   ; 166 ; 72 ;Alle optaget, ledige pladser;
2010;17840;Diplomingeniør, maskinteknik, Odense M, Studiestart: sommerstart; 51 ; -   ; 142 ; 51 ;Alle optaget, ledige pladser;
2020;17845;Diplomingeniør, produktion (produktionsteknik), Odense M, Studiestart: sommerstart; 64 ; -   ; 146 ; 63 ;Alle optaget, ledige pladser;
2030;17850;Diplomingeniør, elektrisk energiteknologi, Odense M, Studiestart: sommerstart; 23 ; -   ; 78 ; 25 ;Alle optaget, ledige pladser;
2040;17855;Diplomingeniør, robotteknologi, Odense M, Studiestart: sommerstart; 68 ; -   ; 210 ; 68 ;Alle optaget, ledige pladser;
2050;17860;Teknisk videnskab (civilingeniør) Velfærdsteknologi, Odense M, Studiestart: sommerstart; 32 ; -   ; 85 ; 20 ;Alle optaget, ledige pladser;
2060;17865;Teknisk videnskab (civilingeniør) Spiludvikling og læringsteknologi, Odense M, Studiestart: sommerstart; 49 ; -   ; 143 ; 50 ;Alle optaget, ledige pladser;
2070;17870;Teknisk videnskab (civilingeniør) Robotteknologi, Odense M, Studiestart: sommerstart; 67 ; -   ; 193 ; 68 ;Alle optaget, ledige pladser;
2080;17875;Teknisk videnskab (civilingeniør) Fysik og teknologi, Odense M, Studiestart: sommerstart; 25 ; -   ; 92 ; 26 ;Alle optaget, ledige pladser;
2090;17880;Teknisk videnskab (civilingeniør) Kemi og bioteknologi, Odense M, Studiestart: sommerstart; 44 ; -   ; 117 ; 39 ;Alle optaget, ledige pladser;
