;OptOmrNr;Optagelsesområder;Antal Optagne;;Antal ansøgere;;Adgangskvotient;
;;;optagne;standby;total;1. prioritet;kvote 1 kvotient;standby
10;;Københavns Universitet;;;;;;
20;10110;Medicin, København K, Studiestart: sommer- og vinterstart; 650 ; 35 ; 3.647 ; 2.113 ;10,6;10,5
30;10115;Folkesundhedsvidenskab, København K, Studiestart: sommerstart; 76 ; 8 ; 298 ; 110 ;9,3;8,9
40;10117;Farmaci, København K, Studiestart: sommerstart; 250 ; 25 ; 868 ; 217 ;8,1;7,5
50;10120;Odontologi, København K, Studiestart: sommerstart; 112 ; 8 ; 1.229 ; 497 ;10,2;10,0
60;10140;Veterinærmedicin, København K, Studiestart: sommerstart; 192 ; 17 ; 897 ; 624 ;10,3;10,0
70;10150;Sundhed og informatik, København K, Studiestart: sommerstart; 55 ; 5 ; 221 ; 56 ;6,7;Alle optaget, ledige pladser
80;10160;Professionsbachelor, tandplejer, København K, Studiestart: sommerstart; 80 ; 13 ; 587 ; 221 ;8,9;8,4
90;10205;Biokemi, København K, Studiestart: sommerstart; 134 ; 10 ; 559 ; 92 ;7,4;6,8
100;10218;Datalogi-økonomi, København K, Studiestart: sommerstart; 98 ; 1 ; 385 ; 83 ;6,6;Alle optaget, ledige pladser
110;10220;Datalogi, København K, Studiestart: sommerstart; 250 ; -   ; 730 ; 216 ;Alle optaget, ledige pladser;
120;10221;Forsikringsmatematik, København K, Studiestart: sommerstart; 80 ; 8 ; 396 ; 186 ;10,9;10,6
130;10230;Fysik, København K, Studiestart: sommerstart; 134 ; -   ; 298 ; 144 ;Alle optaget, ledige pladser;
140;10234;Bioteknologi, København K, Studiestart: sommerstart; 78 ; 7 ; 370 ; 57 ;7,0;Alle optaget, ledige pladser
150;10237;Husdyrvidenskab, København K, Studiestart: sommerstart; 68 ; -   ; 147 ; 21 ;Alle optaget;Ledige pladser
160;10238;Jordbrugsøkonomi, København K, Studiestart: sommerstart; 49 ; -   ; 145 ; 43 ;Alle optaget, ledige pladser;
170;10240;Landskabsarkitektur, København K, Studiestart: sommerstart; 70 ; 12 ; 221 ; 73 ;7,7;6,4
180;10242;Fødevarer og ernæring, København K, Studiestart: sommerstart; 100 ; -   ; 225 ; 87 ;Alle optaget, ledige pladser;
190;10244;Naturressourcer, København K, Studiestart: sommerstart; 99 ; -   ; 249 ; 91 ;Alle optaget;Ledige pladser
200;10246;Professionsbachelor, skov- og landskabsingeniør, Fredensborg, Studiestart: sommerstart; 60 ; 7 ; 178 ; 90 ;8,0;Alle optaget
210;10247;Professionsbachelor, skov- og landskabsingeniør, Auning, Studiestart: sommerstart; 44 ; 1 ; 83 ; 52 ;6,4;Alle optaget
220;10250;Biologi, København K, Studiestart: sommerstart; 208 ; 25 ; 677 ; 236 ;7,6;6,0
230;10270;Geografi og geoinformatik, København K, Studiestart: sommerstart; 109 ; 2 ; 232 ; 111 ;6,9;6,2
240;10275;Geologi-geoscience, København K, Studiestart: sommerstart; 49 ; -   ; 126 ; 52 ;Alle optaget;Ledige pladser
250;10285;Idræt og fysisk aktivitet, København K, Studiestart: sommerstart; 134 ; 14 ; 523 ; 259 ;8,3;7,6
260;10286;Kemi, København K, Studiestart: sommerstart; 42 ; -   ; 171 ; 41 ;Alle optaget, ledige pladser;
270;10287;Matematik, København K, Studiestart: sommerstart; 154 ; 4 ; 495 ; 168 ;6,3;Alle optaget, ledige pladser
280;10288;Matematik-økonomi, København K, Studiestart: sommerstart; 79 ; 7 ; 504 ; 111 ;9,9;9,4
